,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,disable_communication,country,currency,goal,deadline,created_at
59,256,0.0003162277660168,512,ICEH,111465729.0,113826562,0.8399432,0.5191265618410235,0.5,0.6610169491525424,1.0,1.0,3.61615519750451e-07,0.0009238288039341,0.0007842708146199
60,256,0.0003162277660168,512,MCN,110681856.0,113038594,0.58445054,0.5517336985616649,0.5,0.5,0.9958333333333332,0.7875,7.117296263458349e-07,0.0015645097009837,0.0017424043035134
61,256,0.0003162277660168,512,SCARF,111481984.0,111613954,0.6281186,0.5224798132772521,0.500009821783153,,,,,,
62,256,0.0003162277660168,512,SUBTAB,111990016.0,111991042,0.89137703,0.5230195380117209,0.5,,,,,,
63,256,0.0005623413251903,128,CLIP,109633665.0,109781506,0.9354142,0.5263395373869134,0.5,0.8389830508474576,0.8,0.675,3.890759671776191e-06,0.0009566599619574,0.00089368323097
64,256,0.0005623413251903,128,CONTROL,,109781506,,,0.5,,,,,,
65,256,0.0005623413251903,128,GMC,223797504.0,110907778,0.6824134,0.5170829209367757,0.5,0.5,0.2,0.2,4.598957161759908e-07,0.0006993746501393,0.0012385939480736
66,256,0.0005623413251903,128,ICEH,111268737.0,111416578,0.8785373,0.52863227291209,0.5,0.7627118644067796,1.0,0.9208333333333332,1.0465203104103134e-06,0.0010857922025024,0.0008083091233856
67,256,0.0005623413251903,128,MCN,109634688.0,109781506,0.6204439,0.5309709223151386,0.5,0.8389830508474576,1.0,1.0,3.1182455586528125e-06,0.0011225187918171,0.0009204707457683
68,256,0.0005623413251903,128,SCARF,111333760.0,111317506,0.58913344,0.5238724947944549,0.5,,,,,,
69,256,0.0005623413251903,128,SUBTAB,110907520.0,110907778,0.88613915,0.5178670069027018,0.5,,,,,,
70,256,0.0005623413251903,256,CLIP,109883393.0,110473986,0.8687216,0.5196104325797304,0.5,0.7796610169491525,1.0,0.8,3.89076694773368e-06,0.0010197535157203,0.0009112093830481
71,256,0.0005623413251903,256,CONTROL,,110473986,,,0.5,,,,,,
72,256,0.0005623413251903,256,GMC,223912448.0,111465474,0.7499502,0.5310782519214011,0.5,0.5,0.2,0.2,7.009654154897701e-07,0.1086582764983177,0.1092821881175041
73,256,0.0005623413251903,256,ICEH,111334401.0,111924994,0.6984401,0.5284463690406035,0.5,0.7457627118644068,1.0,1.0,6.115858468545944e-07,0.0008562099537812,0.0008651594398543
74,256,0.0005623413251903,256,MCN,109885440.0,110473986,0.60394114,0.532800732350019,0.5,0.847457627118644,1.0,1.0,2.8477579689931657e-06,0.0016624671407043,0.0010617930674925
75,256,0.0005623413251903,256,SCARF,111383168.0,111383554,0.46555153,0.5244515066615357,0.4999321941958232,,,,,,
76,256,0.0005623413251903,256,SUBTAB,111202816.0,111203330,0.9163637,0.522927710255977,0.5,,,,,,
77,256,0.0005623413251903,512,CLIP,110677761.0,113038594,0.8047015,0.5241196960595953,0.5,0.8389830508474576,1.0,1.0,3.2224218102783155e-06,0.0008870688616298,0.0007766255876049
78,256,0.0005623413251903,512,CONTROL,,113038594,,,0.5,,,,,,
79,256,0.0005623413251903,512,GMC,224240640.0,113563906,0.75421906,0.5208039567349269,0.5,0.5,0.2,0.2,2.280564501688445e-07,0.0186497848480939,0.0321572460234165
80,256,0.0005623413251903,512,ICEH,111465729.0,113826562,0.728113,0.5229962260685745,0.5,0.6271186440677966,1.0,0.9958333333333332,5.434259946923302e-06,0.0009732726612128,0.0008392891613766
81,256,0.0005623413251903,512,MCN,110681856.0,113038594,0.6074787,0.5249082787455193,0.5,0.7966101694915254,1.0,1.0,3.323262490084628e-06,0.0009063474717549,0.0009167817770503
82,256,0.0005623413251903,512,SCARF,111481984.0,111613954,0.44626665,0.5235315724177823,0.5,,,,,,
83,256,0.0005623413251903,512,SUBTAB,111990016.0,111991042,0.9618092,0.5248966819413144,0.5,,,,,,
84,256,0.001,128,CLIP,109633665.0,109781506,0.88687557,0.5232982163168455,0.5,0.4745762711864407,0.8,0.2,3.792000597968208e-06,0.000845706439577,0.0008544764714315
85,256,0.001,128,CONTROL,,109781506,,,0.5,,,,,,
86,256,0.001,128,GMC,223797504.0,110907778,0.6821198,0.5155561661627974,0.5,0.5,0.2,0.2,1.3648312915393037e-06,0.0013229938922449,0.0017477867659181
87,256,0.001,128,ICEH,111268737.0,111416578,0.76774865,0.5226726988982089,0.5,0.6694915254237288,1.0,1.0,4.270097178959787e-06,0.0009744950802996,0.000959375349339
88,256,0.001,128,MCN,109634688.0,109781506,0.5585989,0.5200599862447702,0.5,0.7966101694915254,1.0,1.0,2.972695710923112e-06,0.0009995427681133,0.0009285353007726
89,256,0.001,128,SCARF,111333760.0,111317506,0.73910135,0.531599871441142,0.4999321941958232,,,,,,
90,256,0.001,128,SUBTAB,110907520.0,110907778,0.8747162,0.5243433487121157,0.5,,,,,,
91,256,0.001,256,CLIP,109883393.0,110473986,0.8129906,0.5198181100427851,0.4998643883916463,0.4661016949152542,0.8,1.0,3.528262595864072e-06,0.0009013921371661,0.0008112744544632
92,256,0.001,256,CONTROL,,110473986,,,0.5,,,,,,
93,256,0.001,256,GMC,223912448.0,111465474,0.6306109,0.5294027503832862,0.5,0.5,0.2,0.2,2.3794602839188197e-06,0.0013702546712011,0.0013220316031947
94,256,0.001,256,ICEH,111334401.0,111924994,0.7543442,0.522806417150774,0.5,0.559322033898305,1.0,1.0,4.4474103333401467e-07,0.0009469403303228,0.0008757136529311
95,256,0.001,256,MCN,109885440.0,110473986,0.5844155,0.5218656559933468,0.5,0.7542372881355932,1.0,1.0,3.0695146051584447e-06,0.0008264524512924,0.0009027260239236
96,256,0.001,256,SCARF,111383168.0,111383554,0.6304882,0.5177712741006442,0.4998643883916463,,,,,,
97,256,0.001,256,SUBTAB,111202816.0,111203330,0.9005028,0.5155304875249154,0.5,,,,,,
98,256,0.001,512,CLIP,110677761.0,113038594,0.7241454,0.5199307647122028,0.5,0.3898305084745763,0.9958333333333332,1.0,3.201509116479377e-06,0.0008574945968575,0.0008999597048386
99,256,0.001,512,CONTROL,,113038594,,,0.5,,,,,,
100,256,0.001,512,GMC,224240640.0,113563906,0.78751373,0.5191072732789278,0.5,0.4830508474576271,0.2,0.2,2.005241270808228e-07,0.0273012593388557,0.0314110554754733
101,256,0.001,512,ICEH,111465729.0,113826562,0.78522265,0.5319087251041464,0.5,0.7627118644067796,0.2,0.2,2.825917363224968e-06,0.0069219414144754,0.0050243060104548
102,256,0.001,512,MCN,110681856.0,113038594,0.68334615,0.5197126737923111,0.5,0.5,0.4,0.4,2.3273454985422122e-07,0.0011379808420315,0.002409033710137
103,256,0.001,512,SCARF,111481984.0,111613954,0.6586216,0.5262673531974756,0.5,,,,,,
104,256,0.001,512,SUBTAB,111990016.0,111991042,0.9723308,0.514924495337848,0.5,,,,,,
105,256,0.0017782794100389,128,CLIP,109633665.0,109781506,0.8416735,0.5309271384625288,0.5,0.8389830508474576,0.6,1.0,3.607431381169469e-06,0.0008853461476974,0.0008146476466208
106,256,0.0017782794100389,128,CONTROL,,109781506,,,0.5,,,,,,
107,256,0.0017782794100389,128,GMC,223797504.0,110907778,0.74775493,0.5318195007126117,0.5,0.5,0.2,0.2,2.2208534744549566e-07,0.0569976307451724,0.0582696683704853
108,256,0.0017782794100389,128,ICEH,111268737.0,111416578,0.7586716,0.5217466112481427,0.5,0.847457627118644,0.2,0.2,2.6348973278797997e-06,0.0824007764458656,0.0192170776426791
109,256,0.0017782794100389,128,MCN,109634688.0,109781506,0.5983249,0.531010564451961,0.5,0.8389830508474576,1.0,1.0,2.984038474096168e-06,0.0013142988318577,0.0012730918824672
110,256,0.0017782794100389,128,SCARF,111333760.0,111317506,0.47947913,0.5258259646292738,0.5,,,,,,
111,256,0.0017782794100389,128,SUBTAB,110907520.0,110907778,0.98424387,0.5093987364690145,0.5,,,,,,
112,256,0.0017782794100389,256,CLIP,109883393.0,110473986,0.81477696,0.5261491367954291,0.5,0.8050847457627119,1.0,1.0,3.1181853046289157e-06,0.0009591706912033,0.0009577745222486
113,256,0.0017782794100389,256,CONTROL,,110473986,,,0.5,,,,,,
114,256,0.0017782794100389,256,GMC,223912448.0,111465474,0.7264009,0.525177608606438,0.5,0.5,0.2,0.2,2.1508326142337853e-07,0.0116540687158703,0.1098352298140525
115,256,0.0017782794100389,256,ICEH,111334401.0,111924994,0.66347367,0.521170912753692,0.5,0.7966101694915254,0.2,0.2,7.107423130036253e-07,0.0771474987268448,0.0017432844033464
116,256,0.0017782794100389,256,MCN,109885440.0,110473986,0.605885,0.5300063758756178,0.5,0.788135593220339,1.0,1.0,3.1806887363924703e-06,0.0012869234196841,0.0012639646884053
117,256,0.0017782794100389,256,SCARF,111383168.0,111383554,0.6456235,0.5273286974516851,0.5,,,,,,
118,256,0.0017782794100389,256,SUBTAB,111202816.0,111203330,0.9672427,0.5252002105411637,0.5,,,,,,
119,256,0.0017782794100389,512,CLIP,110677761.0,113038594,0.7292268,0.5196740966681198,0.5,0.4915254237288136,0.8,0.2,2.612163370940812e-06,0.0008648289367556,0.0008241951582021
120,256,0.0017782794100389,512,CONTROL,,113038594,,,0.5,,,,,,
121,256,0.0017782794100389,512,GMC,224240640.0,113563906,0.72521126,0.5252823348484913,0.5,0.5,0.2,0.2,2.1855043996759402e-07,0.0213267318904399,0.0009727304568514
122,256,0.0017782794100389,512,ICEH,111465729.0,113826562,0.7053359,0.5241736566995685,0.5,0.6610169491525424,1.0,1.0,7.117296263458349e-07,0.0009689403232186,0.0437320247292518
123,256,0.0017782794100389,512,MCN,110681856.0,113038594,0.73238224,0.5311458210561044,0.5,0.4915254237288136,1.0,1.0,2.3273454985422122e-07,0.0010441031772643,0.0009407362085767
124,256,0.0017782794100389,512,SCARF,111481984.0,111613954,0.8509559,0.5243425203689582,0.5,,,,,,
125,256,0.0017782794100389,512,SUBTAB,111990016.0,111991042,0.688292,0.5222278786226404,0.5,,,,,,
