,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime3,Sa
117,1024,0.001,64,SCARF,138368.0,134273,0.36063725,4.059726e-05,8.704881e-05,,,,,,,,,,,,,,,,
118,1024,0.001,64,SUBTAB,101504.0,134273,0.48961756,3.9667157e-05,6.321659e-05,,,,,,,,,,,,,,,,
119,1024,0.001,128,CLIP,268289.0,530689,0.5243562,4.532992e-05,7.202721e-05,267822.625,1844.39306640625,0.2361654192209243,0.0024509434588253,0.9550471305847168,5.95597505569458,195.84120178222656,7.645911682629958e-05,9.969245910644531,7.49135267597012e-07,4.676572302741988e-07,7.749843007331947e-07,1.1776729991197501e-07,1.1375785646805525e-07,9.748428908551433e-08,7.134591442081728e-07
120,1024,0.001,128,CONTROL,,530689,,,7.912855e-05,,,,,,,,,,,,,,,,
121,1024,0.001,128,GMC,831872.0,563713,0.37580022,3.6040547e-05,4.0658044e-05,73675.703125,616.01416015625,0.1001963838934898,0.0148743716999888,0.7111006379127502,17.253145217895508,81.1603775024414,0.0001231918286066,1.0397326946258545,9.595281653673735e-07,1.0934747933788458e-06,1.0453144341227016e-06,1.1996226021437906e-06,4.529874075842599e-08,2.7264151825079352e-08,1.0734275974755292e-06
122,1024,0.001,128,ICEH,317825.0,580225,0.38005444,2.6862206e-05,5.6915847e-05,306591.15625,5713.9873046875,0.8188756108283997,0.0006727987201884,4.655550003051758,12.735849380493164,15.179244995117188,0.0007480377098545,0.391069233417511,1.5209276398309155e-06,7.400000185953104e-07,1.1464464932942064e-06,1.4047326430954854e-06,1.0544025741410225e-07,9.710691983855213e-08,7.085849347276962e-07
123,1024,0.001,128,MCN,281344.0,530689,0.32389364,3.7039616e-05,7.071877e-05,314986.125,2002.781494140625,0.589896023273468,0.0456007830798625,4.6531291007995605,78.40093994140625,219.57704162597656,0.002108295680955,4.855802059173584,2.4279245280922623e-06,3.315078629384516e-06,7.944182698338409e-07,2.4066980586212594e-06,1.603616226475424e-07,1.1382075371102475e-07,8.441981549367483e-07
124,1024,0.001,128,SCARF,547072.0,530689,0.49906352,4.484377e-05,0.0004007549,,,,,,,,,,,,,,,,
125,1024,0.001,128,SUBTAB,399616.0,530689,0.47665495,3.864317e-05,7.4746225e-05,,,,,,,,,,,,,,,,
126,1024,0.002,32,CLIP,17921.0,34369,0.55386424,4.490046e-05,5.2963762e-05,224969.65625,1339.10693359375,0.2511328756809234,0.0128984274342656,1.8456443548202517,5.633647918701172,157.87893676757812,6.735220813425258e-05,1.3717138767242432,4.3759433765444566e-07,3.999999975690116e-08,5.896226298318652e-07,6.477043825725559e-07,1.545911914035969e-07,1.5954401533235798e-07,3.2861635190784e-08
127,1024,0.002,32,CONTROL,,34369,,,4.68096e-05,,,,,,,,,,,,,,,,
