,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,VendorID,store_and_fwd_flag,RatecodeID,extra,mta_tax,improvement_surcharge,trip_type,lpep_pickup_datetime_day,lpep_pickup_datetime_hour,lpep_pickup_datetime_minute,lpep_dropoff_datetime_day,lpep_dropoff_datetime_hour,lpep_dropoff_datetime_minute,passenger_count,tolls_amount,total_amount
40,4096,0.0001778279410038,128,SCARF,410880.0,394497,0.28579432,0.0058686765842139,0.0029465144034475,,,,,,,,,,,,,,,,
41,4096,0.0001778279410038,128,SUBTAB,230400.0,230529,0.24313533,0.0060774981975555,0.0045457989908754,,,,,,,,,,,,,,,,
42,4096,0.0003162277660168,32,CLIP,11425.0,27873,0.16333611,0.0060287173837423,0.0027614622376859,0.4852063045704664,0.4970095693779904,0.4833333333333333,0.9460496459200982,0.9,0.9642394822006471,0.9660598705501616,0.9862406764174022,0.766599927099994,0.043893532579678,0.9861783399707066,0.7660771443034404,0.0576809282229762,0.2308598011732101,0.0033490317873656,0.0008928944007493
43,4096,0.0003162277660168,32,CONTROL,,27873,,,0.0030875301454216,,,,,,,,,,,,,,,,
44,4096,0.0003162277660168,32,GMC,432576.0,104193,0.26753613,0.0056472104042768,0.0033902372233569,0.5,0.5,0.25,0.6146031746031746,0.5,0.5,0.5,0.5456055220079117,0.4281651107561062,0.0409228582199372,0.5496228058283956,0.3992944771162913,0.0315128574593172,0.0129048414528369,9.80003387667222e-05,0.0003214370226487
45,4096,0.0003162277660168,32,ICEH,119713.0,136161,0.22745326,0.0051460629329085,0.0030221925117075,0.5263153326737141,0.5705741626794258,0.5672161172161172,0.8183728765963036,0.9981684981684982,0.8634708737864077,0.9969660194174756,0.9862406764174022,0.8313642839799273,0.0576914983164983,0.9861783399707066,0.8433917050620802,0.0659700511906394,0.2117011994123458,0.0120474630966782,0.0011484015267342
46,4096,0.0003162277660168,32,MCN,15520.0,27873,0.17875122,0.0057855262421071,0.0027061467990279,0.5265540106580568,0.6521132376395534,0.5917277167277167,0.980716312586765,0.875,0.9969660194174756,0.9969660194174756,0.9849999816283204,0.7658537020509945,0.0498027395901436,0.9849835968404796,0.7598423380889132,0.0457910663505292,0.1990612149238586,0.0014967224560677,0.0013255740050226
47,4096,0.0003162277660168,32,SCARF,373824.0,366561,0.28467494,0.0059043290093541,0.0027511504013091,,,,,,,,,,,,,,,,
48,4096,0.0003162277660168,32,SUBTAB,113376.0,113409,0.3164584,0.0060694273561239,0.0040387734770774,,,,,,,,,,,,,,,,
49,4096,0.0003162277660168,64,CLIP,28993.0,94657,0.14513132,0.0060407677665352,0.0027815853245556,0.5548482008019581,0.9114832535885168,0.6861568986568988,0.9751157672561582,0.9841269841269842,0.964846278317152,0.9969660194174756,0.9862406764174022,0.7668221007596676,0.0636328529503082,0.9861783399707066,0.7674919131095136,0.0677623102625626,0.174149140715599,0.0003187709662597,0.0007638573297299
50,4096,0.0003162277660168,64,CONTROL,,94657,,,0.0027667160611599,,,,,,,,,,,,,,,,
51,4096,0.0003162277660168,64,GMC,439808.0,160641,0.7583305,0.0053538475185632,0.0033878474496304,0.5,0.5,0.25,0.6243514211886305,0.5,0.5,0.5,0.8196323299593535,0.5846111343056113,0.0572788431611961,0.8214637128998388,0.564061305864188,0.0530628725133369,0.0129048414528369,9.719967056298477e-05,0.0003444340254645
52,4096,0.0003162277660168,64,ICEH,123841.0,189505,0.18988183,0.0051293731667101,0.0027643849607557,0.5053680848478536,0.5257177033492823,0.4333333333333333,0.9738193479132272,0.996947496947497,0.9939320388349516,0.9969660194174756,0.9649334525924758,0.6428756451373557,0.0564748323571853,0.9861783399707066,0.9019516015394112,0.0721175180598555,0.2378787398338317,0.0127193331718444,0.0254332013428211
53,4096,0.0003162277660168,64,MCN,37184.0,94657,0.18636726,0.0058007785119116,0.0033996235579252,0.5529040601294937,0.8070175438596491,0.6762057387057387,0.9784041108144402,1.0,0.9636326860841424,0.9993932038834952,0.9849999816283204,0.7673066441049157,0.0487172975410793,0.9861783399707066,0.7544043062719067,0.0514434130148728,0.1142306476831436,0.001236934796907,0.0009853995870798
54,4096,0.0003162277660168,64,SCARF,386176.0,373825,0.18762216,0.0058842720463871,0.002987244632095,,,,,,,,,,,,,,,,
55,4096,0.0003162277660168,64,SUBTAB,148288.0,148353,0.25254354,0.0060566714964806,0.0041999323293566,,,,,,,,,,,,,,,,
56,4096,0.0003162277660168,128,CLIP,82561.0,344961,0.14652354,0.0060067912563681,0.0032200079876929,0.5332239754205073,0.9108851674641149,0.9373626373626374,0.984893545033936,1.0,0.9969660194174756,1.0,0.9862406764174022,0.7747946837322507,0.0662251760861095,0.9861783399707066,0.7568361347298547,0.0552704779528712,0.1530776023864746,0.0004985206178389,0.0005179457366466
57,4096,0.0003162277660168,128,CONTROL,,344961,,,0.0027179305907338,,,,,,,,,,,,,,,,
58,4096,0.0003162277660168,128,GMC,460416.0,377985,0.3702464,0.0056443624198436,0.0033773859031498,0.5,0.5,0.25,0.6236810631229236,0.5,0.5,0.5,0.9088273893217668,0.6409490190551862,0.0651767634744818,0.912509401856236,0.6163208632913705,0.0578094592244376,0.0129048414528369,9.880100697045976e-05,0.000341905397363
59,4096,0.0003162277660168,128,ICEH,132097.0,394497,0.16187526,0.0056512798182666,0.0033560553565621,0.4955345518929334,0.485645933014354,0.4534798534798534,0.905191628903428,0.9981684981684982,0.9884708737864076,0.962378640776699,0.9862406764174022,0.9182257850344256,0.0627571940200658,0.9861783399707066,0.9031070010902412,0.0649314043799337,0.1592577993869781,0.0094899777323007,0.0096566090360283
60,4096,0.0003162277660168,128,MCN,98944.0,344961,0.14481361,0.005870240740478,0.0033765267580747,0.5533510389001719,0.4976076555023923,0.6201159951159951,0.9775152219255516,1.0,0.9969660194174756,0.9975728155339806,0.9848965903958968,0.7716299840034774,0.0607950720596265,0.9851030711535024,0.7507940578247018,0.0628844420294312,0.1499875038862227,0.0013115510810166,0.0010946330148726
61,4096,0.0003162277660168,128,SCARF,410880.0,394497,0.21334459,0.0059497253969311,0.0030459447298198,,,,,,,,,,,,,,,,
62,4096,0.0003162277660168,128,SUBTAB,230400.0,230529,0.28970554,0.0060466984286904,0.0042121857404708,,,,,,,,,,,,,,,,
63,4096,0.0005623413251903,32,CLIP,11425.0,27873,0.13520499,0.0060397707857191,0.0033962621819227,0.4854102657570865,0.4467703349282296,0.8275335775335776,0.9831157672561582,0.9,0.9654530744336568,0.5,0.9862406764174022,0.7719808309183979,0.0675863529172352,0.9861783399707066,0.7652788483964489,0.0627570468684683,0.1968392878770827,0.0007814952987246,0.0009162980713881
64,4096,0.0005623413251903,32,CONTROL,,27873,,,0.0034215901978313,,,,,,,,,,,,,,,,
65,4096,0.0005623413251903,32,GMC,432576.0,104193,0.32281557,0.0050269686616957,0.0033935944084078,0.5,0.5,0.25,0.6270033222591361,0.5,0.5,0.5,0.4225972789331976,0.3843096464955267,0.0425470197338046,0.4248134101170056,0.3709469023216161,0.0421910963457605,0.0129048414528369,9.960166789824087e-05,0.0003247104177717
66,4096,0.0005623413251903,32,ICEH,119713.0,136161,0.32888186,0.0046449266374111,0.0033818648662418,0.5,0.5,0.4333333333333333,0.3333333333333333,0.5,0.5,0.7651699029126213,0.9862406764174022,0.8084484300568052,0.0403517316017316,0.9861783399707066,0.8649972712472712,0.0257516339869281,0.2308009564876555,0.0113920867443084,0.0046054073609411
67,4096,0.0005623413251903,32,MCN,15520.0,27873,0.17809351,0.0056804995983839,0.0033545806072652,0.5251349615511465,0.4988038277511962,0.717948717948718,0.9775152219255516,0.9,0.9636326860841424,0.9975728155339806,0.9862406764174022,0.7762490905473621,0.0533537229672308,0.9861783399707066,0.7537690719410204,0.04813045962839,0.1344634294509887,0.0011659527663141,0.0015311397146433
68,4096,0.0005623413251903,32,SCARF,373824.0,366561,0.23215228,0.0059817000292241,0.0029758438467979,,,,,,,,,,,,,,,,
69,4096,0.0005623413251903,32,SUBTAB,113376.0,113409,0.3697018,0.0058415993116795,0.0041318922303616,,,,,,,,,,,,,,,,
70,4096,0.0005623413251903,64,CLIP,28993.0,94657,0.15717097,0.0060566323809325,0.0027817278169095,0.5331502022253467,0.8983253588516746,0.8608669108669109,0.984893545033936,1.0,0.9969660194174756,0.9993932038834952,0.9862406764174022,0.7747946837322507,0.061707813288948,0.9861783399707066,0.7691058671488408,0.0640892294123718,0.1378036886453628,0.0003425849718041,0.0011517970124259
71,4096,0.0005623413251903,64,CONTROL,,94657,,,0.0028110120911151,,,,,,,,,,,,,,,,
72,4096,0.0005623413251903,64,GMC,439808.0,160641,0.79485786,0.0044747572392225,0.0033766396809369,0.5,0.5,0.25,0.6174883720930232,0.5,0.5,0.5,0.7795527827714256,0.5672846084029224,0.0413769456128791,0.7924229963577946,0.5191820095970249,0.0473865806859816,0.0129048414528369,9.960166789824087e-05,0.0003615705354604
73,4096,0.0005623413251903,64,ICEH,123841.0,189505,0.19659962,0.0047808438539504,0.0025503684300929,0.5,0.5,0.2669719169719169,0.984893545033936,0.9743894993894994,0.995752427184466,0.9963592233009708,0.96536781114226,0.8428444600998698,0.0347486772486772,0.9861783399707066,0.6193180511966826,0.0307683982683982,0.0483379811048507,0.0042082741856574,0.000303756823996
74,4096,0.0005623413251903,64,MCN,37184.0,94657,0.160979,0.0057773306034505,0.0033477442339062,0.546633338540853,0.9736842105263156,0.9323107448107448,0.9784041108144402,1.0,0.9993932038834952,0.9969660194174756,0.9862406764174022,0.7693545068307964,0.0743278158354211,0.9861783399707066,0.7576781157957164,0.0553416874631876,0.1398931890726089,0.0008991449722088,0.0010657861130312
75,4096,0.0005623413251903,64,SCARF,386176.0,373825,0.2075543,0.0058806492015719,0.0034578782506286,,,,,,,,,,,,,,,,
76,4096,0.0005623413251903,64,SUBTAB,148288.0,148353,0.32006064,0.0060586724430322,0.0042997719720005,,,,,,,,,,,,,,,,
77,4096,0.0005623413251903,128,CLIP,82561.0,344961,0.20066202,0.0059371348470449,0.0033733542077243,0.5363398080161086,0.9013157894736844,0.9495726495726496,0.984893545033936,1.0,0.9969660194174756,1.0,0.9862406764174022,0.7710909800285469,0.0770196393808252,0.9861783399707066,0.7468438663420639,0.0604488490600349,0.1606556922197342,0.0004592462792061,0.0007119873771443
78,4096,0.0005623413251903,128,CONTROL,,344961,,,0.0034045360516756,,,,,,,,,,,,,,,,
79,4096,0.0005623413251903,128,GMC,460416.0,377985,0.38212028,0.0045801638625562,0.0033603284973651,0.5,0.5,0.25,0.6097364341085272,0.5,0.5,0.5,0.9021045952558676,0.6401325776891245,0.0537806598180639,0.9053533781564336,0.6087390156445899,0.0417845594415455,0.0129048414528369,9.960166789824087e-05,0.0004759948060382
80,4096,0.0005623413251903,128,ICEH,132097.0,394497,0.19703524,0.004227805417031,0.0027499294374138,0.5231778020795361,0.5,0.8577228327228328,0.984893545033936,0.85,0.9660598705501616,1.0,0.9862406764174022,0.8381928158150792,0.0220479302832244,0.9861783399707066,0.8466999833130394,0.0296130952380952,0.2804779410362243,0.0003316428046673,0.0002822926908265
81,4096,0.0005623413251903,128,MCN,98944.0,344961,0.13562165,0.0058576869778335,0.0034029281232505,0.543105243972296,0.5,0.5570054945054945,0.9784041108144402,1.0,0.9969660194174756,0.9969660194174756,0.9865679321443774,0.7714698704723698,0.0690610309633731,0.9861783399707066,0.7579853421762109,0.0513015696824924,0.1419679671525955,0.0013104133540764,0.0010263522854074
82,4096,0.0005623413251903,128,SCARF,410880.0,394497,0.25052133,0.0059483074583113,0.003411087905988,,,,,,,,,,,,,,,,
83,4096,0.0005623413251903,128,SUBTAB,230400.0,230529,0.3000413,0.0058694342151284,0.0040023876354098,,,,,,,,,,,,,,,,
84,4096,0.001,32,CLIP,11425.0,27873,0.15699534,0.0060264379717409,0.0034616715274751,0.5355716988664966,0.8498803827751196,0.8698107448107448,0.9828485552588848,1.0,0.9969660194174756,1.0,0.9862406764174022,0.7766465355841025,0.0537801612339739,0.9861783399707066,0.7691058671488408,0.0540491715494239,0.1856413632631302,0.0006338102393783,0.0007622530683875
85,4096,0.001,32,CONTROL,,27873,,,0.0033798688091337,,,,,,,,,,,,,,,,
86,4096,0.001,32,GMC,432576.0,104193,0.41300303,0.0042862747795879,0.0033937415573745,0.5,0.5,0.25,0.6097364341085272,0.5,0.5,0.5,0.4501925529863569,0.4217822331402005,0.0385026924829556,0.4517121588916723,0.390377257706737,0.0361434432583813,0.0129048414528369,9.960166789824087e-05,0.0005735273007303
87,4096,0.001,32,ICEH,119713.0,136161,0.7723068,0.0041656899265944,0.0033657650928944,0.5,0.5,0.25,0.984893545033936,0.9493894993894992,0.9951456310679612,0.9963592233009708,0.9862406764174022,0.9555896246377484,0.0267088779956427,0.9861783399707066,0.984384307821808,0.0305660597572362,0.0500301718711852,0.0083008632063865,0.0002862253750208
88,4096,0.001,32,MCN,15520.0,27873,0.16440716,0.0055586979724466,0.0034012282267212,0.5503133190994463,0.7876794258373205,0.923458485958486,0.9775152219255516,0.9743894993894994,0.9969660194174756,0.9969660194174756,0.9862406764174022,0.7646209434751361,0.064145219410817,0.9861783399707066,0.7609423187744918,0.0562901938893828,0.1505319625139236,0.0009735649800859,0.0009514405974186
89,4096,0.001,32,SCARF,373824.0,366561,0.20772226,0.0059147495776414,0.0043732705526053,,,,,,,,,,,,,,,,
90,4096,0.001,32,SUBTAB,113376.0,113409,0.3259721,0.0058364253491163,0.0043783239088952,,,,,,,,,,,,,,,,
91,4096,0.001,64,CLIP,28993.0,94657,0.18616143,0.0059567680582404,0.0034036803990602,0.5169374576889028,0.8983253588516746,0.9865689865689866,0.984893545033936,0.9212454212454212,0.9975728155339806,1.0,0.9862406764174022,0.7729428318803988,0.0585861942177563,0.9861783399707066,0.7461631483105995,0.0695919216382098,0.202489748597145,0.0003924128250218,0.0008807027479633
92,4096,0.001,64,CONTROL,,94657,,,0.0034570754505693,,,,,,,,,,,,,,,,
93,4096,0.001,64,GMC,439808.0,160641,0.2933423,0.0046717170625924,0.0034013011027127,0.5,0.5,0.25,0.6252403100775193,0.5,0.5,0.5,0.7285447388332692,0.5595125181842531,0.0482729818665005,0.7338641440752062,0.5312668296662924,0.0451812668182637,0.0129048414528369,9.880100697045976e-05,0.0003186129324603
94,4096,0.001,64,ICEH,123841.0,189505,0.26132676,0.0043003330938517,0.0033668740652501,0.5,0.5,0.4934065934065934,0.981741135546814,0.8888888888888888,0.5,0.6650485436893204,0.9876432009615816,0.8973485151693672,0.0524118365294835,0.9888116513597784,0.9794985399778658,0.0384122069880583,0.2658661901950836,0.0030122748576104,0.0034555417951196
95,4096,0.001,64,MCN,37184.0,94657,0.17217088,0.0057041067630052,0.0033966910559684,0.5529821729243694,0.9360047846889952,0.993894993894994,0.9784041108144402,1.0,0.9969660194174756,0.9975728155339806,0.9862406764174022,0.7684287185702016,0.0660392769107771,0.9861783399707066,0.7611267504943511,0.0516780390232402,0.1648494154214859,0.0009084509219974,0.0010927492985501
96,4096,0.001,64,SCARF,386176.0,373825,0.23348679,0.0058922972530126,0.0043484731577336,,,,,,,,,,,,,,,,
97,4096,0.001,64,SUBTAB,148288.0,148353,0.2558932,0.0058364807628095,0.0041407761164009,,,,,,,,,,,,,,,,
