,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,sex,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,age,juv_misd_count,priors_count
102,1024,0.0007,128,MCN,65408.0,232962,0.41552395,0.6369730869001297,0.6629701686121919,0.5037978298115363,0.6742199993195196,0.6232945459494403,0.5961538461538461,0.5,0.7767746266152038,0.4901360544217687,0.88125,177.92555236816406,0.4466800689697265,31.309858322143555
103,1024,0.0007,128,SCARF,249216.0,232962,0.54384506,0.6461170557717251,0.6732490272373541,,,,,,,,,,,
104,1024,0.0007,128,SUBTAB,118144.0,232962,0.4717907,0.6100275616083009,0.6675502594033722,,,,,,,,,,,
105,1024,0.001,32,CLIP,3873.0,15234,0.45302534,0.6129539559014268,0.6786721789883268,0.5712592804111936,0.5,0.5,0.971153846153846,1.0,1.0,1.0,0.731958762886598,215.81288146972656,1.30181086063385,248.4124755859375
106,1024,0.001,32,CONTROL,,15234,,,0.6817201686121919,,,,,,,,,,,
107,1024,0.001,32,GMC,305696.0,84354,0.45289516,0.5911397535667964,0.6790856031128405,0.5,0.6857711544350311,0.68834847402266,0.5897435897435898,0.5897435897435898,0.7425742574257426,0.5,0.5,85.67404174804688,0.2072434574365615,25.66800880432129
108,1024,0.001,32,ICEH,89505.0,100866,0.65790546,0.642534046692607,0.6632457846952011,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.16901397705078,0.863179087638855,320.5110778808594
109,1024,0.001,32,MCN,7136.0,15234,0.45710003,0.6359922178988326,0.6597843709468223,0.4993860651056538,0.5,0.6907216494845361,0.6121794871794872,0.7551319648093842,0.5,0.8266156462585034,0.600090206185567,218.2816925048828,0.7303823232650757,30.859155654907227
110,1024,0.001,32,SCARF,16224.0,15234,0.40725645,0.6193417639429313,0.6719925421530479,,,,,,,,,,,
111,1024,0.001,32,SUBTAB,8032.0,15234,0.5655315,0.6453064202334631,0.6803258754863813,,,,,,,,,,,
112,1024,0.001,64,CLIP,13889.0,59138,0.45124966,0.6280885214007782,0.679223411154345,0.5,1.0,1.0,1.0,1.0,0.5,0.534438775510204,0.6487499999999999,136.53521728515625,2.5150904655456543,319.3380432128906
113,1024,0.001,64,CONTROL,,59138,,,0.6600599870298314,,,,,,,,,,,
114,1024,0.001,64,GMC,309824.0,122370,0.42405167,0.5830820363164722,0.6719925421530479,0.5,0.6984536082474226,0.6984536082474226,0.5833333333333334,0.5833333333333334,0.6534653465346535,0.5,0.5,506.9517211914063,0.2072434574365615,24.704225540161133
115,1024,0.001,64,ICEH,93633.0,138882,0.53694886,0.6446173800259403,0.6697714007782101,0.5274557395773843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129.7223358154297,0.9336016178131104,55.8712272644043
116,1024,0.001,64,MCN,20416.0,59138,0.47000283,0.6413991569390403,0.6661721789883268,0.5,0.966996699669967,0.5773195876288659,1.0,1.0,0.6950159422721933,0.5142857142857142,0.85375,226.4024200439453,1.3782696723937988,32.77263641357422
117,1024,0.001,64,SCARF,63168.0,59138,0.4873095,0.6415369649805447,0.665466926070039,,,,,,,,,,,
