,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:
64,1024,0.0005,32,CONTROL,,21538,,,0.7887766251002666,,,,,,,,,,
65,1024,0.0005,32,GMC,519968.0,198658,0.6974671,0.7573281168655612,0.8410627026278217,567.6321411132812,214.3177490234375,0.0579247064888477,0.0068873916752636,0.002847048221156,5793.4609375,4034.86474609375,958.2440185546876,787.7286987304688,24639.630859375
66,1024,0.0005,32,ICEH,204833.0,215170,0.60444844,0.7886961884184585,0.8358287324296123,307.3904113769531,55.60261535644531,0.0858150050044059,0.0038142590783536,0.001746569876559,12546.73046875,3449.225341796875,1687.001220703125,1490.5830078125,13363.6640625
67,1024,0.0005,32,MCN,14464.0,21538,0.46140298,0.7610092122344193,0.7938988776848536,800.9905395507812,429.409423828125,3.4365575313568115,0.1540289968252182,0.0489005558192729,3807.962158203125,2960.69091796875,652.2385864257812,1802.8323974609373,43856.9921875
68,1024,0.0005,32,SCARF,22528.0,21538,0.55040914,0.757211930547394,0.790155220452367,,,,,,,,,,
69,1024,0.0005,32,SUBTAB,15360.0,21538,0.41474247,0.7729317159602017,0.7828734663964589,,,,,,,,,,
70,1024,0.0005,64,CLIP,42881.0,84034,0.37415022,0.7632849000239076,0.835752764452349,891.8214721679688,105.71129608154295,0.0483352020382881,0.0014424932887777,0.0006945794448256,28803.220703125,7852.89013671875,4284.68701171875,1370.91796875,24129.63671875
71,1024,0.0005,64,CONTROL,,84034,,,0.7834756243338837,,,,,,,,,,
72,1024,0.0005,64,GMC,524096.0,233602,0.6820426,0.7736455915112488,0.8365738889124736,499.51025390625,187.7183837890625,0.0576712600886821,0.0064231664873659,0.0027044638991355,4558.6943359375,5157.328125,772.8489990234375,829.4525146484375,9680.9541015625
73,1024,0.0005,64,ICEH,208961.0,250114,0.6734358,0.7843235610212778,0.8395142965030153,309.5939636230469,85.92356872558594,0.1199000999331474,0.0048684943467378,0.0028637261129915,12503.107421875,5878.630859375,2679.296875,1340.770263671875,16754.1015625
74,1024,0.0005,64,MCN,49408.0,84034,0.41242194,0.7534906168376319,0.8238257920220218,3403.3486328125,593.7760620117188,3.422786235809326,0.1524823158979416,0.048167485743761,3806.9521484375,2863.622314453125,583.93603515625,999.0394287109376,41075.7578125
75,1024,0.0005,64,SCARF,88064.0,84034,0.5501286,0.7498229275824084,0.7842475930440145,,,,,,,,,,
76,1024,0.0005,64,SUBTAB,59392.0,84034,0.40420693,0.756623178723604,0.7910255006624854,,,,,,,,,,
77,1024,0.0005,128,CLIP,167681.0,331906,0.42158395,0.7782103732038601,0.815642476824181,855.924560546875,92.15470886230467,0.0372493602335453,0.0011673463741317,0.0008161403820849,24883.779296875,4432.20166015625,1346.4276123046875,1318.7010498046875,21722.9296875
78,1024,0.0005,128,CONTROL,,331906,,,0.7894279387876852,,,,,,,,,,
79,1024,0.0005,128,GMC,532352.0,364930,0.7042549,0.7482745214576021,0.8268957920443654,587.0210571289062,213.31195068359372,0.058023028075695,0.0074150273576378,0.0032220848370343,6966.02685546875,4423.5146484375,934.31298828125,779.3720092773438,13979.1875
80,1024,0.0005,128,ICEH,217217.0,381442,0.6160161,0.8000433464340855,0.835079107242206,306.27691650390625,109.505126953125,0.1205271109938621,0.0043115061707794,0.0021887158509343,11965.5234375,3841.218994140625,1874.29296875,1073.038818359375,21989.029296875
81,1024,0.0005,128,MCN,180736.0,331906,0.41849452,0.76860377560847,0.8194218836930268,2314.0673828125,479.7587585449219,0.8452402949333191,0.1463125944137573,0.0487642623484134,3771.56884765625,2844.789306640625,603.5214233398438,880.4728393554688,41790.69921875
82,1024,0.0005,128,SCARF,348160.0,331906,0.5767416,0.762419088518334,0.8022341288372208,,,,,,,,,,
83,1024,0.0005,128,SUBTAB,233472.0,331906,0.419367,0.7626112428137646,0.811238568495186,,,,,,,,,,
84,1024,0.0007,32,CLIP,11201.0,21538,0.41872042,0.7662342450235389,0.8171372584944487,961.110595703125,108.56885528564452,0.0457232519984245,0.0014719601022079,0.0015629907138645,40039.25390625,11510.080078125,3595.5625,1297.897705078125,23023.203125
85,1024,0.0007,32,CONTROL,,21538,,,0.7803922181979055,,,,,,,,,,
86,1024,0.0007,32,GMC,519968.0,198658,0.669288,0.764659026671463,0.844645486496692,550.9878540039062,202.43186950683597,0.0582583360373973,0.0065124351531267,0.0028806370683014,5207.08349609375,4124.69775390625,903.0712280273438,929.0158081054688,10666.822265625
87,1024,0.0007,32,ICEH,204833.0,215170,0.62487125,0.7798347473059297,0.8469971422634435,148.49127197265625,80.92562866210938,0.1273445188999176,0.0089840954169631,0.0036572313401848,8641.556640625,3538.927490234375,1990.4088134765625,1067.802734375,8906.904296875
88,1024,0.0007,32,MCN,14464.0,21538,0.41919875,0.7648601183759833,0.7961924402925215,4210.67822265625,723.423828125,0.7365639805793762,0.0452342107892036,0.0453923679888248,3771.3701171875,2946.72216796875,574.2361450195312,1391.0543212890625,46731.55859375
89,1024,0.0007,32,SCARF,22528.0,21538,0.5858431,0.7549496488715404,0.81106875772248,,,,,,,,,,
90,1024,0.0007,32,SUBTAB,15360.0,21538,0.43406108,0.7662342450235389,0.8111357882906535,,,,,,,,,,
91,1024,0.0007,64,CLIP,42881.0,84034,0.40142205,0.7834398746975246,0.8373637324407841,863.018798828125,91.78429412841795,0.0409797057509422,0.0012739705853164,0.0005900665419176,22375.58203125,5702.296875,1862.6640625,1568.2579345703125,17812.8125
92,1024,0.0007,64,CONTROL,,84034,,,0.8104040379214268,,,,,,,,,,
93,1024,0.0007,64,GMC,524096.0,233602,0.6469018,0.7728378731647589,0.8432400789173222,601.2680053710938,165.2114715576172,0.0522915497422218,0.0058595077134668,0.0026946261059492,5060.76416015625,4079.863037109375,920.5684814453124,945.7404174804688,8436.3623046875
94,1024,0.0007,64,ICEH,208961.0,250114,0.638659,0.7902267197250853,0.8439986415138183,277.3545227050781,72.11540985107422,0.179600179195404,0.007333371322602,0.0037546809762716,15179.8212890625,4826.13916015625,2258.749755859375,998.1321411132812,11044.9833984375
95,1024,0.0007,64,MCN,49408.0,84034,0.44680548,0.7685903694948353,0.8170076660626469,1706.422607421875,327.17529296875,3.469393014907837,0.1540289968252182,0.0489005558192729,3854.093505859375,13937.6962890625,671.8970336914062,1098.62255859375,40747.375
96,1024,0.0007,64,SCARF,88064.0,84034,0.2995688,0.7631865885239199,0.805143255495948,,,,,,,,,,
97,1024,0.0007,64,SUBTAB,59392.0,84034,0.39223605,0.7729674655965608,0.811961381455323,,,,,,,,,,
98,1024,0.0007,128,CLIP,167681.0,331906,0.40045732,0.7737304968976019,0.8290999805611352,1091.671630859375,115.88175201416016,0.0426342859864234,0.0012486787745729,0.0006247090641409,27603.3828125,7324.2548828125,1950.04931640625,1399.439697265625,24933.19921875
99,1024,0.0007,128,CONTROL,,331906,,,0.8021402860417779,,,,,,,,,,
100,1024,0.0007,128,GMC,532352.0,364930,0.70410395,0.7573459916837408,0.8522668620980121,527.3672485351562,208.4896240234375,0.0576750263571739,0.0073529374785721,0.0031073025893419,7086.46728515625,4405.060546875,905.5961303710938,843.6297607421875,12550.1435546875
101,1024,0.0007,128,ICEH,217217.0,381442,0.5965886,0.791551690622647,0.8425440781844548,233.6855316162109,120.69834899902344,0.1040826514363288,0.0055147064849734,0.002307376358658,21801.005859375,4286.16064453125,2311.54345703125,1340.444091796875,11958.8154296875
102,1024,0.0007,128,MCN,180736.0,331906,0.56563157,0.7744399037441041,0.7865634991744068,2282.8251953125,434.6264343261719,0.2622294723987579,0.0700943171977996,0.0166184734553098,4031.54296875,2991.876953125,578.11865234375,866.3695068359375,7767.37353515625
103,1024,0.0007,128,SCARF,348160.0,331906,0.64495397,0.7572566175928429,0.8028765051155495,,,,,,,,,,
104,1024,0.0007,128,SUBTAB,233472.0,331906,0.3856318,0.770803495420695,0.8313354500097194,,,,,,,,,,
105,1024,0.001,32,CLIP,11201.0,21538,0.40227917,0.775077811317888,0.8334592018446813,1338.2845458984375,68.94689178466797,0.053712498396635,0.0012741979444399,0.0009124755742959,27846.5390625,6115.2314453125,2242.265380859375,1444.771728515625,17455.443359375
106,1024,0.001,32,CONTROL,,21538,,,0.7894234700831402,,,,,,,,,,
107,1024,0.001,32,GMC,519968.0,198658,0.6720064,0.7624548381546932,0.845453204843182,551.5062255859375,167.38565063476562,0.0530904494225978,0.006643355358392,0.0028579398058354,4109.4013671875,5127.98583984375,1078.293701171875,958.0520629882812,9864.1162109375
108,1024,0.001,32,ICEH,204833.0,215170,0.5485499,0.7871611884072867,0.867682677290267,172.51731872558594,49.08029556274414,0.0664156675338745,0.0046012392267584,0.0021524671465158,11162.654296875,4881.2958984375,2087.849853515625,1828.1470947265625,31127.099609375
109,1024,0.001,32,MCN,14464.0,21538,0.41658214,0.7624771816774176,0.7962013777016113,3914.528564453125,737.731689453125,1.0605791807174685,0.1540289968252182,0.0489005558192729,3797.205322265625,5527.2705078125,578.9025268554688,4271.4912109375,54662.8515625
110,1024,0.001,32,SCARF,22528.0,21538,0.60885423,0.77139671594903,0.8088243508648061,,,,,,,,,,
111,1024,0.001,32,SUBTAB,15360.0,21538,0.557882,0.7804503113569892,0.8036127241893212,,,,,,,,,,
112,1024,0.001,64,CLIP,42881.0,84034,0.43356574,0.7767155915335924,0.825383135555918,698.9646606445312,97.68113708496094,0.0499896332621574,0.0012258507777005,0.000802949653007,25979.39453125,5023.86669921875,1331.8720703125,1286.8560791015625,23020.65625
113,1024,0.001,64,CONTROL,,84034,,,0.797772127349142,,,,,,,,,,
114,1024,0.001,64,GMC,524096.0,233602,0.69737536,0.7646143396260141,0.8461849552124088,562.6439819335938,170.2334747314453,0.062819167971611,0.0060608037747442,0.0027895171660929,5042.263671875,4468.771484375,911.1900024414062,880.9152221679688,14808.044921875
115,1024,0.001,64,ICEH,208961.0,250114,0.644773,0.8028720364110047,0.8544978628420514,259.3217163085937,73.80349731445312,0.1053240969777107,0.0052062487229704,0.0021112659014761,13493.169921875,4763.2353515625,2465.580322265625,1026.5775146484375,17087.626953125
116,1024,0.001,64,MCN,49408.0,84034,0.43096814,0.7715709954262808,0.8095158828931287,2078.299072265625,446.2884216308594,1.0263506174087524,0.1097798198461532,0.0475556142628192,3780.603515625,2872.54736328125,588.0728759765625,984.728515625,34694.09375
117,1024,0.001,64,SCARF,88064.0,84034,0.553839,0.7542268359114035,0.823861541658381,,,,,,,,,,
