,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,month,hour,temp,feel_temp,humidity,windspeed
121,1024,0.001,128,GMC,274816.0,203265,0.1684813,11212.885,10845.33,0.2766431428842528,0.0676941291801548,5.570372581481934,8.66467571258545,0.0367717072367668,76.8892822265625
122,1024,0.001,128,ICEH,121217.0,219777,0.34539133,14451.581,10611.51,0.1925845065760941,0.0458620689655172,0.4407328069210052,3.817699670791626,0.136597067117691,96.97732543945312
123,1024,0.001,128,MCN,84736.0,170241,0.23685,11693.561,10280.682,0.2294688326029325,0.0572082698505016,31.00574111938477,91.01729583740234,0.0709798336029052,86.52324676513672
124,1024,0.001,128,SCARF,186624.0,170241,0.5601375,11866.088,10751.754,,,,,,
125,1024,0.001,128,SUBTAB,104704.0,170241,0.40381405,13769.947,9919.084,,,,,,
126,1024,0.002,32,CLIP,5633.0,11841,0.36903298,13329.646,10278.426,0.2631246899615331,0.064784640176559,3.0719449520111084,8.142245292663574,0.0700278729200363,725.6243286132812
127,1024,0.002,32,CONTROL,,11841,,,10521.65,,,,,,
128,1024,0.002,32,GMC,262432.0,98529,0.16830352,11827.459,10641.756,0.2801381296284245,0.0591552831472337,7.112936496734619,12.55394458770752,0.0355525203049182,81.84207916259766
129,1024,0.002,32,ICEH,108833.0,115041,0.4159208,20105.855,10458.432,0.1001984126984127,0.0423132389397406,2.252634048461914,2.7049484252929688,0.1273480355739593,351.2471923828125
130,1024,0.002,32,MCN,8896.0,11841,0.32256725,11532.677,10216.972,0.2717396597384668,0.0591665096396725,25.813947677612305,9.262411117553713,0.0840724036097526,557.7056884765625
131,1024,0.002,32,SCARF,12864.0,11841,0.31395823,14303.51,10859.008,,,,,,
132,1024,0.002,32,SUBTAB,7744.0,11841,0.39547735,13261.45,10562.489,,,,,,
133,1024,0.002,64,CLIP,19457.0,44161,0.37561476,13333.922,11588.872,0.3001205973246452,0.0707633545371748,3.087012529373169,8.33231258392334,0.0717344582080841,868.0372924804688
134,1024,0.002,64,CONTROL,,44161,,,10382.237,,,,,,
135,1024,0.002,64,GMC,266560.0,121153,0.1544468,12056.227,10365.366,0.271492564041308,0.0510979231433519,5.778496742248535,7.261516094207764,0.0415460765361785,100.180419921875
