,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence
10,1024,0.0002,16,CONTROL,,44273,,,291.67908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1024,0.0002,16,GMC,3962384.0,1363505,0.3932276,104.98537,265.85678,1824.108154296875,1527.367431640625,1168.402099609375,1845.785400390625,0.0442454740405082,0.0542569085955619,2123.190673828125,403.5689697265625,303.3414001464844,248.7849578857422,52941.8515625,32695.98828125,53732.08984375,37914.6953125,0.0493267253041267,0.0599965862929821,35723.61328125,70948.7265625,7623.7822265625,10047.8173828125,2430.581787109375,2794.137939453125,1235.478515625,2177.39013671875,0.0577633120119571,0.053896814584732,1454.746826171875,821.9071655273438,219.8631591796875,220.0391540527344,120578440.0,144526816.0,112310440.0,21847158.0,0.0525238551199436,0.0513294488191604,87745312.0,19899430.0,23477992.0,11519121.0,1162.7943115234375,853.5011596679688,713.8732299804688,1224.8868408203125,0.0407781042158603,0.0463608428835868,1845.4244384765625,628.2079467773438,201.76515197753903,180.62457275390625,113.07158660888672,307.66070556640625,117.51937103271484,232.3659820556641,0.0788125172257423,0.0702419206500053,600.2579345703125,308.6006164550781,140.02586364746094,73.31167602539062,1225.167724609375,1979.3204345703125,1557.0408935546875,1827.9578857421875,0.08938779681921,0.0749962553381919,6754.3134765625,1065.1280517578125,1437.43505859375,1365.3262939453125,0.4568071067333221,0.4181414246559143,0.698004961013794,0.4057914614677429,0.0535465739667415,0.0533464699983596,0.46967214345932,0.15206079185009,0.1200406178832054
12,1024,0.0002,16,ICEH,1359761.0,1380017,0.42554957,107.567696,254.33557,4868.4697265625,4066.82275390625,2566.122802734375,2980.458984375,0.0466097556054592,0.0618077963590621,4244.390625,1215.3017578125,959.3757934570312,490.8705139160156,54176.37890625,40001.76171875,49727.8359375,37914.4765625,0.0432772226631641,0.0421374812722206,105023.1640625,129681.7109375,19048.08984375,5454.02001953125,3076.970947265625,1658.4466552734375,2570.73486328125,1498.56640625,0.0455943681299686,0.0386733189225196,2917.594970703125,1555.12841796875,793.482177734375,455.824951171875,31204408.0,68245256.0,73596224.0,124326792.0,0.0621412023901939,0.0642794370651245,139051920.0,24344716.0,33677160.0,13151786.0,4448.23681640625,3301.60009765625,2397.097412109375,2435.01416015625,0.0763833597302436,0.0699537023901939,10791.0810546875,1701.2598876953125,838.9784545898438,710.2235717773438,132.3577423095703,1458.5159912109375,195.29324340820312,315.1133117675781,0.0254681408405303,0.0571249052882194,1092.7261962890625,143.8102569580078,185.17030334472656,60.80779647827149,6100.3388671875,5914.35791015625,6298.5625,2851.312744140625,0.0718470960855484,0.1203614100813865,47301.2265625,1354.998291015625,1487.18896484375,3788.77490234375,0.9173400402069092,0.4080352783203125,0.9768563508987428,0.4187939763069153,0.0602038651704788,0.0492755845189094,0.4833707809448242,0.1987642496824264,0.2085183262825012
13,1024,0.0002,16,SCARF,44528.0,44273,0.5876218,156.94656,296.14014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1024,0.0002,16,SUBTAB,32752.0,44273,0.6080137,117.60397,266.35406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1024,0.0002,32,CONTROL,,169441,,,296.54715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1024,0.0002,32,GMC,3964448.0,1426273,0.42221662,116.47078,237.7643,2126.45068359375,1263.46728515625,2306.123291015625,1407.6754150390625,0.0517562367022037,0.0574072338640689,2181.052490234375,404.2770080566406,331.8153076171875,266.8986511230469,52941.8515625,34243.2578125,51943.85546875,36881.04296875,0.0492104925215244,0.0570376776158809,40754.578125,156284.171875,5257.51025390625,5488.52197265625,2361.859375,2854.026123046875,2124.55908203125,872.3682861328125,0.0503577925264835,0.0573182292282581,1874.48095703125,763.7777099609375,274.9365234375,199.27639770507807,139609776.0,135914592.0,116323000.0,18800542.0,0.0520003400743007,0.0526993051171302,90857768.0,25727326.0,24442100.0,11685919.0,881.1275634765625,867.731689453125,916.1122436523438,1093.758056640625,0.0406310074031353,0.0497116558253765,1948.11328125,729.4038696289062,251.64749145507807,168.48876953125,131.97242736816406,348.3999328613281,105.122802734375,263.2092590332031,0.0773040428757667,0.0663123205304145,576.4634399414062,327.6048889160156,127.14056396484376,75.72196197509766,1266.757080078125,2003.8277587890625,1650.875244140625,3340.594482421875,0.0840481370687484,0.0931590273976326,10781.15234375,1110.9290771484375,1218.3460693359375,1389.6158447265625,0.4840401411056518,0.4644314646720886,0.7612687349319458,0.8681385517120361,0.0587647780776023,0.0586987026035785,0.5451174974441528,0.2058733999729156,0.1244650855660438
17,1024,0.0002,32,ICEH,1361825.0,1442785,0.37016717,107.701866,255.56158,3456.505859375,3061.847412109375,2911.484130859375,2449.68359375,0.0845766216516494,0.1032226905226707,6058.076171875,1638.97119140625,588.1492309570312,506.4043273925781,47782.32421875,37428.8515625,44884.67578125,44753.67578125,0.052911639213562,0.0702563151717186,196613.0625,196249.0625,19270.1875,6131.0400390625,2634.19970703125,1772.329345703125,2151.244140625,1755.49072265625,0.0661253854632377,0.040263295173645,4101.24072265625,1951.0574951171875,904.8574829101562,518.598876953125,36057196.0,113727064.0,201264896.0,120973232.0,0.0478094331920146,0.0724684968590736,116788976.0,20708014.0,21869948.0,15358714.0,2311.16259765625,3982.541259765625,1991.651123046875,3589.779296875,0.0721077471971511,0.0559537000954151,19202.166015625,3414.9482421875,1318.956298828125,508.3674926757813,200.62985229492188,243.6927947998047,85.40835571289062,548.3096923828125,0.081092245876789,0.0594985447824001,870.0064086914062,671.1934814453125,173.0604248046875,92.5888900756836,5829.97705078125,4530.3212890625,7096.5625,3418.201416015625,0.2670250236988067,0.1815669536590576,58752.14453125,2109.197021484375,2458.5478515625,4873.56787109375,1.472042202949524,1.94418740272522,2.11177396774292,1.0939133167266846,0.0515993349254131,0.0548566095530986,0.5637818574905396,0.2145744562149047,0.2845945954322815
18,1024,0.0002,32,SCARF,170464.0,169441,0.52226937,130.40073,270.96478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1024,0.0002,32,SUBTAB,123360.0,169441,0.53105485,108.44905,293.97208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
