,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,dx_type,sex,localization,age
39,512,0.00025,512,MCN,26370600.0,27659311,0.45292288,0.552088596632683,0.9243880786145304,0.4621848739495798,0.463445645263827,0.1343471636193155,364.7410278320313
40,512,0.00025,512,SCARF,27918376.0,27659311,0.26602834,0.5330605625334711,0.9399055791470816,,,,
41,512,0.00025,512,SUBTAB,26869800.0,27659311,0.46165454,0.6595488344591568,0.905850663648544,,,,
42,512,0.0005,128,CLIP,25704745.0,25787695,0.19356051,0.5538351360444675,0.933949540015011,0.9558823529411764,0.9716465352828988,0.9374394764938324,59.96015930175781
43,512,0.0005,128,CONTROL,,25787695,,,0.931197419266214,,,,
44,512,0.0005,128,GMC,54328528.0,26755759,0.19378404,0.5473590281883898,0.9320024576994976,0.6911764705882353,0.8405594405594405,0.6728030804445547,229.5816802978516
45,512,0.0005,128,ICEH,26935465.0,27018415,0.23324104,0.4482623397617754,0.9474769907963186,0.9599484955272432,0.9524157660521296,0.8994118779720045,100.2988052368164
46,512,0.0005,128,MCN,25711272.0,25787695,0.44310692,0.5501670220326937,0.9245884921132632,0.5882352941176471,0.5661474888747616,0.1373279586096041,551.4940185546875
47,512,0.0005,128,SCARF,25803304.0,25787695,0.5337261,0.3332362099068483,0.9340318863863954,,,,
48,512,0.0005,128,SUBTAB,25737768.0,25787695,0.46321926,0.613782667295774,0.9646788217774672,,,,
49,512,0.0005,256,CLIP,25885225.0,26214959,0.2230944,0.5842341414177612,0.9344687775607756,0.9783816752507456,0.9527018436109344,0.935478790672387,191.43426513671875
50,512,0.0005,256,CONTROL,,26214959,,,0.9648682706913612,,,,
51,512,0.0005,256,GMC,54394192.0,27068207,0.20195949,0.5183466371623275,0.9125596606801925,0.6911764705882353,0.854100445009536,0.4938534168941837,235.3585662841797
52,512,0.0005,256,ICEH,27001129.0,27330863,0.19401863,0.5196625764733753,0.8985657397287273,0.9498509081051776,0.935886840432295,0.7919085021491016,124.20318603515624
53,512,0.0005,256,MCN,25898280.0,26214959,0.398236,0.5791687918948674,0.915401454113984,0.5,0.5,0.0833333333333333,572.9083862304688
54,512,0.0005,256,SCARF,26278952.0,26214959,0.5523622,0.5599961974839686,0.9344236699654987,,,,
55,512,0.0005,256,SUBTAB,26016808.0,26214959,0.46976778,0.611663436518886,0.9521101276331428,,,,
56,512,0.0005,512,CLIP,26344489.0,27659311,0.3522958,0.5570224308628925,0.948147179269718,0.9976958525345624,0.9799109980928162,0.934053274966808,134.462158203125
57,512,0.0005,512,CONTROL,,27659311,,,0.9180828799181364,,,,
58,512,0.0005,512,GMC,54525520.0,28184623,0.21346118,0.5302197595456093,0.8756951686147095,0.6764705882352942,0.8727590591226955,0.6972607942614458,192.33067321777344
59,512,0.0005,512,ICEH,27132457.0,28447279,0.60649604,0.4782852792858437,0.9411287450303504,0.9576443480618052,0.9568340750158932,0.9343555354631304,134.56175231933594
60,512,0.0005,512,MCN,26370600.0,27659311,0.44250336,0.5532460297551857,0.939308683672474,0.5,0.5129688493324858,0.082466847498493,835.7569580078125
61,512,0.0005,512,SCARF,27918376.0,27659311,0.26492205,0.4192571207587511,0.915434133852546,,,,
62,512,0.0005,512,SUBTAB,26869800.0,27659311,0.4837645,0.633278072422999,0.8879344075938834,,,,
63,512,0.00075,128,CLIP,25704745.0,25787695,0.21340758,0.5916593453301718,0.9597662298750348,0.9907834101382488,0.9438652256834076,0.9354576148321496,417.1314697265625
64,512,0.00075,128,CONTROL,,25787695,,,0.8974585704928738,,,,
65,512,0.00075,128,GMC,54328528.0,26755759,0.22344626,0.5311488376445105,0.936473539664622,0.6764705882352942,0.8499682136045772,0.4804477680664389,274.40240478515625
