,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
53,1024,0.0003,64,MCN,40832.0,67266,0.7104253,0.6123054615393284,0.783765077552431,8.005660057067871,562.25,4.70184850692749,0.3029674887657165,3237893.25,0.7962258458137512,9.830147743225098,10.812986373901367
54,1024,0.0003,64,SCARF,71296.0,67266,0.82764167,0.5267723989226429,0.7885498878692145,,,,,,,,
55,1024,0.0003,64,SUBTAB,50816.0,67266,0.711014,0.6063411180021563,0.7868040660087826,,,,,,,,
56,1024,0.0003,128,CLIP,134145.0,265602,0.71027654,0.6319170795659017,0.8047581393426919,5.868553638458252,233.8125,1.3036381006240845,0.2539549469947815,4802495.5,0.9807769060134888,13.240694999694824,11.719734191894531
57,1024,0.0003,128,CONTROL,,265602,,,0.7841642030449988,,,,,,,,
58,1024,0.0003,128,GMC,432512.0,298626,0.937441,0.7761516413918492,0.8041965462966789,3.8195974826812735,111.25,2.074681282043457,0.2638500034809112,4456575.0,0.5364542007446289,15.721246719360352,15.182205200195312
59,1024,0.0003,128,ICEH,183681.0,315138,0.6843898,0.7619390173812108,0.7998944430462009,14.064245223999023,202.0,0.9615684747695924,1.3477392196655271,3643224.0,0.877984881401062,11.298690795898438,11.507964134216309
60,1024,0.0003,128,MCN,147200.0,265602,0.7103327,0.6226329510493713,0.7906413054502699,8.886610984802246,614.75,3.921360969543457,0.2528222501277923,3237893.25,0.6288418173789978,9.830147743225098,10.812986373901367
61,1024,0.0003,128,SCARF,281856.0,265602,0.7567386,0.6056133009274738,0.7973776046460086,,,,,,,,
62,1024,0.0003,128,SUBTAB,199936.0,265602,0.7110358,0.623229291491208,0.7662627203642278,,,,,,,,
63,1024,0.0005,32,CLIP,8961.0,17250,0.71060586,0.5997982772804622,0.8046351147791004,6.572615623474121,321.625,1.301159381866455,0.2527214586734772,5524570.5,0.9836854934692384,12.140447616577148,12.933618545532228
64,1024,0.0005,32,CONTROL,,17250,,,0.808275139271319,,,,,,,,
65,1024,0.0005,32,GMC,420128.0,163074,0.95008445,0.7949650084332869,0.8006926940313366,5.541059970855713,198.375,1.955386519432068,0.2487340867519378,4558614.0,0.7994753122329712,13.598443984985352,15.522236824035645
66,1024,0.0005,32,ICEH,171297.0,179586,0.61195976,0.7613952675925126,0.80041189750833,3.547701597213745,323.1875,1.200898289680481,0.0090107964351773,4802495.5,1.1764934062957764,9.339929580688477,10.853713989257812
67,1024,0.0005,32,MCN,12224.0,17250,0.7094447,0.6333511139827277,0.8038678547145642,13.818367958068848,562.25,11.175691604614258,0.2526698112487793,3237893.25,1.2278703451156616,17.175941467285156,12.794678688049316
68,1024,0.0005,32,SCARF,18240.0,17250,0.7752936,0.5580920111041408,0.770188236973483,,,,,,,,
69,1024,0.0005,32,SUBTAB,13120.0,17250,0.71082526,0.6234133587771922,0.7640877212094348,,,,,,,,
70,1024,0.0005,64,CLIP,34305.0,67266,0.7082654,0.6862169289312452,0.7979429541672458,5.182492256164551,266.25,1.1935395002365112,0.2518198490142822,3915465.5,0.9751439690589904,11.626845359802246,11.204204559326172
71,1024,0.0005,64,CONTROL,,67266,,,0.7632368795711608,,,,,,,,
