,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,a1,a2,a3,a4,a5,y2
197,1024,0.007,64,CONTROL,,50433,,,0.0014351679,,,,,,
198,1024,0.007,64,GMC,324416.0,150081,0.5264933,0.0023048793,0.0014305424,0.015411696396768,0.0163707993924617,0.0202834364026784,0.0662196278572082,0.0302144642919302,0.0067799198441207
199,1024,0.007,64,ICEH,141889.0,166593,0.7542249,0.002051127,0.0026565855,0.0017797002801671,0.0017047126311808,0.0113651789724826,0.0033462799619883,0.0030565711203962,0.1777066737413406
200,1024,0.007,64,MCN,32256.0,50433,0.5013277,0.00041505366,0.0018727288,0.0080642187967896,0.0079748360440135,0.0370676144957542,0.0084817949682474,0.0245291460305452,0.0892805233597755
201,1024,0.007,64,SCARF,54528.0,50433,0.4591189,0.002839183,0.0011605099,,,,,,
202,1024,0.007,64,SUBTAB,34048.0,50433,0.48033175,0.0017843463,0.001437708,,,,,,
203,1024,0.007,128,CLIP,100609.0,199169,0.4846685,0.00077228365,0.0012449821,0.0036961513105779,0.0051043108105659,0.0590178407728672,0.0223913211375474,0.0058784671127796,0.1458372473716735
204,1024,0.007,128,CONTROL,,199169,,,0.0030501543,,,,,,
205,1024,0.007,128,GMC,332672.0,232193,0.51313555,0.0019577683,0.0014856993,0.0150700183585286,0.0145957050845026,0.0363048426806926,0.0441312380135059,0.0391302593052387,0.0404253341257572
206,1024,0.007,128,ICEH,150145.0,248705,0.5923823,0.002309166,0.0014251267,0.0179743133485317,0.0212412308901548,0.03776815533638,0.0629365593194961,0.0617938376963138,0.007909401319921
207,1024,0.007,128,MCN,113664.0,199169,0.48320895,0.00034828897,0.0013334322,0.006608145777136,0.006041367072612,0.0340526476502418,0.0034153044689446,0.0071151084266602,0.0671717077493667
208,1024,0.007,128,SCARF,215552.0,199169,0.6199227,0.0023410034,0.0024168163,,,,,,
209,1024,0.007,128,SUBTAB,133632.0,199169,0.4663799,0.0014388707,0.0014123195,,,,,,
210,1024,0.01,32,CLIP,6721.0,12929,0.5059542,0.0004176907,0.0012970155,0.0044391429983079,0.0042764847166836,0.0442692339420318,0.0061835683882236,0.0079649351537227,0.0506161265075206
211,1024,0.01,32,CONTROL,,12929,,,0.0014547631,,,,,,
212,1024,0.01,32,GMC,320288.0,127457,0.6490835,0.002939005,0.001567072,0.0275565236806869,0.0266231968998909,0.0590523816645145,0.1351108402013778,0.0366492010653018,0.0136455195024609
213,1024,0.01,32,ICEH,137761.0,143969,0.63063055,0.002707923,0.0014712109,0.0130165442824363,0.0124683640897274,0.0351871140301227,0.1027558147907257,0.060958445072174,0.0100961970165371
214,1024,0.01,32,MCN,9984.0,12929,0.53004473,0.0010149986,0.0012549302,0.0151149118319153,0.0117212990298867,0.066034585237503,0.0631735995411872,0.0405397303402423,0.1544308066368103
215,1024,0.01,32,SCARF,13952.0,12929,0.47610855,0.0014744306,0.0015167646,,,,,,
216,1024,0.01,32,SUBTAB,8832.0,12929,0.50423825,0.0012221554,0.0013459953,,,,,,
217,1024,0.01,64,CLIP,25729.0,50433,0.5451669,0.0007988669,0.001088486,0.0029164575971663,0.0048967329785227,0.0282420106232166,0.0299673844128847,0.0040934309363365,0.0514528900384902
218,1024,0.01,64,CONTROL,,50433,,,0.001388627,,,,,,
219,1024,0.01,64,GMC,324416.0,150081,0.73796636,0.0018393502,0.001683162,0.0343314297497272,0.0310280676931142,0.0725714042782783,0.075540542602539,0.0350261107087135,0.0115313185378909
220,1024,0.01,64,ICEH,141889.0,166593,0.5778943,0.001544797,0.0015640833,0.0015649272827431,0.0025176671333611,0.0237637460231781,0.0018087605712935,0.0039497907273471,0.0333765260875225
221,1024,0.01,64,MCN,32256.0,50433,0.4946514,0.00048678106,0.0008227097,0.0071498085744678,0.010305450297892,0.0383280366659164,0.0081553859636187,0.0135192209854722,0.1564177721738815
222,1024,0.01,64,SCARF,54528.0,50433,0.529993,0.0019504628,0.0012307548,,,,,,
223,1024,0.01,64,SUBTAB,34048.0,50433,0.50808287,0.0014765667,0.0013299348,,,,,,
224,1024,0.01,128,CLIP,100609.0,199169,0.5249346,0.00037696311,0.001425097,0.0041045364923775,0.0045147687196731,0.0427423045039176,0.0188291724771261,0.0068865031935274,0.1178885623812675
225,1024,0.01,128,CONTROL,,199169,,,0.0014243821,,,,,,
226,1024,0.01,128,GMC,332672.0,232193,0.5771362,0.0013666904,0.0015527651,0.0144125996157526,0.0131848398596048,0.0842808559536933,0.0449825152754783,0.0379309803247451,0.0072047440335154
227,1024,0.01,128,ICEH,150145.0,248705,0.53977036,0.0008663662,0.0021115863,0.0043238527141511,0.0024124297779053,0.0090620191767811,0.0193533562123775,0.0575984492897987,0.0045489510521292
228,1024,0.01,128,MCN,113664.0,199169,0.506664,0.0007548772,0.001298429,0.0119098927825689,0.008317838422954,0.0687993690371513,0.0494202822446823,0.031322069466114,0.1577784121036529
229,1024,0.01,128,SCARF,215552.0,199169,0.61080015,0.0031073403,0.0024913729,,,,,,
230,1024,0.01,128,SUBTAB,133632.0,199169,0.4722872,0.0015903118,0.0013712622,,,,,,
