,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Recommended IND,Division Name,Department Name,Class Name,Age,Positive Feedback Count
15,128,0.0005,128,CONTROL,,109750405,,,0.3294146181786631,,,,,,
16,128,0.0005,128,GMC,223267456.0,110880901,0.37124106,0.3713221179636898,0.3332046332046331,0.5,0.3809523809523809,0.3863636363636363,0.25,720.4222412109375,29.511110305786133
17,128,0.0005,128,ICEH,111011713.0,111143557,0.7455485,0.3861239913584552,0.3266409266409266,0.4077540106951872,0.6483516483516483,1.0,0.375,645.7555541992188,149.22222900390625
18,128,0.0005,128,MCN,109620096.0,109750405,0.32696408,0.3764645918892121,0.3513194063755861,0.5,0.5413919413919415,0.9375,0.2847222222222222,397.1777648925781,48.511112213134766
19,128,0.0005,128,SCARF,109766272.0,109750405,0.50618196,0.3722429877356801,0.3845208845208845,,,,,,
20,128,0.0005,128,SUBTAB,109684352.0,109750405,0.23768145,0.3865608532036811,0.3266409266409266,,,,,,
21,128,0.0005,256,CLIP,109820417.0,110346245,0.650185,0.3897823237041299,0.3657463095665343,0.4451871657754011,0.6446886446886447,1.0,0.3125,727.9111328125,329.1333312988281
22,128,0.0005,256,CONTROL,,110346245,,,0.3435646649129795,,,,,,
23,128,0.0005,256,GMC,223333120.0,111340549,0.37181237,0.3741661942946804,0.3308178308178308,0.5,0.3333333333333333,0.2954545454545454,0.2708333333333333,706.3778076171875,29.511110305786133
24,128,0.0005,256,ICEH,111077377.0,111603205,0.80918545,0.3807907946365869,0.3408915408915409,0.4839572192513369,0.4230769230769231,1.0,0.3611111111111111,887.9111328125,687.4444580078125
25,128,0.0005,256,MCN,109823488.0,110346245,0.39242673,0.3918675004842989,0.3308178308178308,0.5574866310160428,0.3523809523809524,0.5,0.2272727272727273,190.3999938964844,37.17777633666992
26,128,0.0005,256,SCARF,110410752.0,110346245,0.50784975,0.3687361017541287,0.3438399438399439,,,,,,
