,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight
39,1024,0.0002,128,MCN,130816.0,249089,0.51699156,5.5829344,5.270384,0.4904187766256732,0.0102626765146851,0.0090113040059804,0.0437720045447349,0.0413507334887981,0.0179784446954727,0.0040891706012189,0.0080764647573232
40,1024,0.0002,128,SCARF,265472.0,249089,0.52341086,5.9823747,5.636352,,,,,,,,
41,1024,0.0002,128,SUBTAB,183552.0,249089,0.831794,4.67921,5.695224,,,,,,,,
42,1024,0.0003,32,CLIP,7937.0,16193,0.8086132,4.5714593,6.7688913,0.4957881199260509,0.0008082535350695,0.0005696171429008,0.0009094496490433,0.0235529337078332,0.0080660665407776,0.0012628773692995,0.0027898526750504
43,1024,0.0003,32,CONTROL,,16193,,,6.9520245,,,,,,,,
44,1024,0.0003,32,GMC,387360.0,146657,0.49322087,6.955779,5.9133244,0.4946788843340567,0.0010525718098506,0.0004802630573976,0.0022992820013314,0.021898990496993,0.0078966142609715,0.0011036142241209,0.0029812091961503
45,1024,0.0003,32,ICEH,154913.0,163169,0.5546937,6.0199037,5.975906,0.4715617715617715,0.0005481459666043,0.000395095674321,0.0474266707897186,0.0072189141064882,0.0055028242059051,0.0007387243094854,0.0042595346458256
46,1024,0.0003,32,MCN,11200.0,16193,0.51289064,5.336685,7.17407,0.4886102403343782,0.0584884546697139,0.03927493840456,0.0592906028032302,0.9232569336891174,0.3137477040290832,0.0392337590456008,0.1289767324924469
47,1024,0.0003,32,SCARF,17216.0,16193,0.52612007,6.6889954,7.410739,,,,,,,,
48,1024,0.0003,32,SUBTAB,12096.0,16193,0.8184845,4.71204,7.0330267,,,,,,,,
49,1024,0.0003,64,CLIP,30209.0,63105,0.7784786,4.713014,7.3772006,0.511566594325215,0.0004885766538791,0.0005172248929738,0.0137926423922181,0.0103495633229613,0.0056655253283679,0.0008647086797282,0.0043422458693385
50,1024,0.0003,64,CONTROL,,63105,,,8.490217,,,,,,,,
51,1024,0.0003,64,GMC,391488.0,175425,0.48367062,7.049043,4.4122367,0.4918495297805643,0.0011240430176258,0.000544078880921,0.002325537847355,0.023903053253889,0.0082854060456156,0.0011055818758904,0.003213295713067
52,1024,0.0003,64,ICEH,159041.0,191937,0.6163052,5.7231526,4.4607105,0.4892773892773892,0.000530801480636,0.0003970693505834,0.0152538269758224,0.0055857463739812,0.0054143625311553,0.0007256662938743,0.0039339759387075
53,1024,0.0003,64,MCN,36736.0,63105,0.51547563,5.187482,5.869538,0.4855477855477855,0.0244893487542867,0.0293020363897085,0.0498172231018543,0.1909318715333938,0.0244925059378147,0.0242622159421443,0.0210461094975471
54,1024,0.0003,64,SCARF,67200.0,63105,0.618201,5.460482,8.182278,,,,,,,,
55,1024,0.0003,64,SUBTAB,46720.0,63105,0.8546468,4.534115,8.244763,,,,,,,,
56,1024,0.0003,128,CLIP,117761.0,249089,0.7767528,4.753264,4.8480353,0.4710312675829917,0.0005294855800457,0.0003099880123045,0.0006344496505334,0.0082337455824017,0.0051432740874588,0.0008174300892278,0.0037432375829666
57,1024,0.0003,128,CONTROL,,249089,,,5.006242,,,,,,,,
58,1024,0.0003,128,GMC,399744.0,282113,0.4935754,6.6023917,6.9304724,0.4903464351740214,0.001067703240551,0.0006221290677785,0.0008534090593457,0.0276209469884634,0.0084735322743654,0.001229453831911,0.0033376230858266
59,1024,0.0003,128,ICEH,167297.0,298625,0.5894239,5.933588,4.2563715,0.4931275620930793,0.0005512559437192,0.0003763755375985,0.0245580710470676,0.0056158788502216,0.0049048997461795,0.0008576142136007,0.0033070270437747
60,1024,0.0003,128,MCN,130816.0,249089,0.50607973,5.3798213,4.443515,0.4847922192749779,0.0055669848807156,0.0055407895706593,0.0259215291589498,0.0217079035937786,0.0096761118620634,0.0029973210766911,0.0055222027003765
