,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat111,cat114,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14
10,2048,0.0001,128,CONTROL,,2325889,,,0.0025975408498197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2048,0.0001,128,GMC,2652800.0,2358913,0.29164654,0.0035375226289033,0.0026068273000419,0.5,0.6003662541045719,0.5,0.5,0.5,0.5,0.5,0.5,0.5272283585923452,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5096774193548387,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3544303797468354,0.25,0.5,0.5,0.3333333333333333,0.2,0.3333333333333333,0.25,0.2,0.3966370639164757,0.2,0.2581395348837209,0.3668202764976959,0.117063492063492,0.0714285714285714,0.1264422945158549,0.25,0.1428571428571428,0.1839322368840441,0.1111111111111111,0.1343821920293112,0.0769230769230769,0.1905109489051095,0.1428571428571428,0.1,0.0307122711092233,0.061977807432413,0.0433383733034133,0.0827101096510886,0.1146309226751327,0.0265493281185626,0.0424383357167243,0.0744490623474121,0.0196411274373531,0.0222892519086599,0.0372209176421165,0.0349081605672836,0.0987675413489341,0.1560596674680709
12,2048,0.0001,128,ICEH,343553.0,2375425,0.15469591,0.003200912149623,0.002494010142982,0.5988437769951492,1.0,0.5105263157894737,1.0,0.9981412639405204,1.0,0.751918158567775,0.7335958005249343,0.9672489082969432,0.9834834834834836,1.0,1.0,0.9957264957264956,0.5959595959595959,1.0,0.9921875,0.964824120603015,0.7939698492462312,0.90126582278481,1.0,1.0,1.0,0.9136667003741532,0.8904639175257731,0.9653351698806244,0.9156332453825856,0.978925408719346,0.8914728682170543,0.898989898989899,0.8791348600508906,0.8269681349578257,0.8417085427135678,0.5189393939393939,0.5703517587939698,0.7675879396984925,0.9373134328358208,0.976115170683826,0.994413407821229,0.8460559796437659,0.8746736292428199,0.9235751295336788,0.8825757575757576,0.8487179487179487,0.9904891304347826,0.979591836734694,0.5654911838790933,0.5151133501259446,0.879396984924623,0.9639566395663955,0.9781818181818184,0.8047858942065491,0.9773532152842498,0.875,0.75,1.0,1.0,0.9045801526717556,0.6381909547738693,0.8505025125628141,1.0,1.0,1.0,1.0,1.0,0.5126262626262627,0.6796875,0.9045226130653266,1.0,1.0,1.0,0.7769999999999999,0.6714436805922792,0.8033271898341255,0.6469465648854962,0.5077399380804953,0.8577293222962514,0.3620981387478849,0.5044757033248082,0.2658682634730539,0.5818584713746004,0.4016669280430748,0.5111350899394377,0.4599289967934036,0.3797150376481979,0.5248724489795918,0.86394633624532,0.5074374361593463,0.8417366946778712,0.9258312020460358,0.7809081527347782,0.4706821443515053,0.6593676643192489,0.3316368078175896,0.3192365781710914,0.6068716822393293,0.6442176533729668,0.691000857707424,0.6657988267323123,0.5087049315741299,0.1555359033429209,0.3356475411738847,0.1788057742782152,0.3783553413539158,0.381506342831644,0.4158701788621337,0.3254753096562879,0.2469410016486563,0.5649615497443634,0.1433531746031746,0.1095861060697721,0.0316314026713371,0.3012506663799285,0.1473211795091628,0.1149387508630752,0.2134848535060882,0.025876710191369,0.0508145876228809,0.144019678235054,0.0199371334165334,0.0790895372629165,0.0199980624020099,0.0218295957893133,0.0525702759623527,0.2645175457000733
13,2048,0.0001,128,SCARF,2391808.0,2375425,0.2992313,0.0033243324141949,0.0024980315938591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2048,0.0001,128,SUBTAB,1211904.0,1212033,0.34540415,0.0032113119959831,0.0026616449467837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2048,0.0001778279410038,32,CONTROL,,157537,,,0.0024973943363875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2048,0.0001778279410038,32,GMC,2624960.0,426241,0.24594395,0.0035682299640029,0.0026021075900644,0.5,0.5706365243748421,0.5,0.5,0.5,0.5,0.5,0.5,0.5205882352941177,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5032258064516129,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3856450941938551,0.25,0.5,0.5,0.3333333333333333,0.2,0.3333333333333333,0.25,0.3631999999999999,0.4979739623121976,0.2,0.2511627906976744,0.2300884955752212,0.1794504721719911,0.0794532627865961,0.1016640072942785,0.25,0.1428571428571428,0.1751099636641805,0.134783695923981,0.0769230769230769,0.0769230769230769,0.1946346602453156,0.1428571428571428,0.0992337164750958,0.0421401485800742,0.0616425052285194,0.0391675904393195,0.0859243422746658,0.1034227609634399,0.0277625154703855,0.0363580621778964,0.0670320838689803,0.0235688686370849,0.0253618471324443,0.0265602692961692,0.0301955044269561,0.1067755445837974,0.157520517706871
17,2048,0.0001778279410038,32,ICEH,331169.0,458209,0.17742333,0.0032375189475715,0.0024728584103286,0.5724134493986311,1.0,0.5,1.0,1.0,1.0,0.5217391304347826,0.9960629921259844,0.9970588235294118,0.8213213213213213,0.9081632653061223,0.8252279635258359,0.8247863247863247,0.7575757575757576,1.0,0.71875,0.6218592964824121,0.5,0.5,1.0,1.0,1.0,0.9913793103448276,0.8904639175257731,0.9861111111111112,0.9511873350923484,0.8923705722070845,0.872093023255814,0.8648989898989898,0.7697201017811706,0.9355670103092784,0.7952261306532663,0.8497474747474747,0.5,0.8015075376884422,0.9119402985074628,1.0,0.9427374301675976,0.8422391857506362,0.8590078328981723,0.8497409326424871,0.7941919191919191,0.882051282051282,0.8885869565217391,0.8533163265306123,0.5957178841309824,0.8324937027707808,0.942211055276382,0.8536585365853658,0.939516129032258,0.8060453400503778,0.8810810810810811,0.955922865013774,0.83206106870229,1.0,1.0,0.7888040712468194,0.4183417085427136,0.8844221105527639,1.0,1.0,1.0,1.0,1.0,0.9267676767676768,0.8828125,0.5,1.0,1.0,1.0,0.5,0.7242596509783183,0.8351925501988554,0.5,0.5092879256965944,0.6412948381452318,0.3401015228426396,0.375,0.44295124037639,0.35,0.2884615384615384,0.4437963255898038,0.3885478699038021,0.5399799655964483,0.5025510204081632,0.48,0.5237487231869254,0.98109243697479,0.9398976982097188,0.3333333333333333,0.272003520410757,0.6873716255868545,0.2926728818001423,0.2,0.4029346878611585,0.5272727272727272,0.4521811825505396,0.2952764976958525,0.4532627865961199,0.1860324931369478,0.2618604554779618,0.225,0.1428571428571428,0.1626984126984127,0.3111111111111111,0.2720002602206299,0.1685089104443943,0.2124785223367697,0.1498015873015873,0.2745977011494253,0.0620818361639976,0.3127933442592621,0.1431663334369659,0.1404206156730651,0.3158276677131653,0.0109447157010436,0.0428411476314067,0.1376622170209884,0.0424890927970409,0.0907693281769752,0.0356023684144019,0.0574930682778358,0.1203271523118019,0.3069162666797638
18,2048,0.0001778279410038,32,SCARF,2354752.0,2347489,0.30565724,0.0033758629579096,0.0024486782494932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2048,0.0001778279410038,32,SUBTAB,517344.0,517377,0.28591105,0.0033245382364839,0.0027009120676666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
