,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,KWG,KWI,STRM,STRN,SA,SB,Run2,Run3,Run4
98,4096,0.0007,128,CLIP,51841.0,199553,0.82021224,0.0004000256,0.00057806814,0.5,0.5032173900688058,0.5216889369155185,0.4992084361007494,0.5719310426330251,0.5191758667798989,23334.9296875,124050.453125,8861.69140625
99,4096,0.0007,128,CONTROL,,199553,,,0.0011960225,,,,,,,,,
100,4096,0.0007,128,GMC,284288.0,232577,0.8340412,0.00038713723,0.0003042198,0.5632040978066912,0.5330992444506015,0.534343586224458,0.5041242857239923,0.6265252459597601,0.5764110327511723,43277.77734375,39250.890625,41256.80859375
101,4096,0.0007,128,ICEH,101377.0,249089,0.80397725,0.00026882233,0.0002960635,0.5580964258451605,0.5299333610403634,0.5372954416616768,0.4988517227555936,0.6347490176381954,0.5748033821954732,12853.412109375,4090.267333984375,5523.7783203125
102,4096,0.0007,128,MCN,104192.0,199553,0.8219594,0.0003890242,0.0023967766,0.5121322403255685,0.5,0.5166492918057911,0.5,0.4917466836056371,0.5,25149.271484375,30265.41015625,20424.47265625
103,4096,0.0007,128,SCARF,215936.0,199553,0.7804087,0.0004427031,0.00081674266,,,,,,,,,
104,4096,0.0007,128,SUBTAB,117632.0,199553,0.83175075,0.0003106873,0.002306962,,,,,,,,,
105,4096,0.001,32,CLIP,3745.0,13025,0.8288581,0.00036855123,0.0012289033,0.5064818326356171,0.4929391475470397,0.5086991482527113,0.5,0.5581292285874672,0.5,5852.81396484375,916199.125,80459.078125
106,4096,0.001,32,CONTROL,,13025,,,0.002551705,,,,,,,,,
107,4096,0.001,32,GMC,271904.0,81761,0.80879205,0.00039118828,0.0005549497,0.5693741460876838,0.5336637455878923,0.5395433419818685,0.4999660273004613,0.6172290010931545,0.569532178857586,52699.17578125,57694.63671875,55146.9296875
108,4096,0.001,32,ICEH,88993.0,98273,0.87926406,0.00026663803,0.00047426927,0.554565300893174,0.548534369149998,0.5446123800979511,0.506923636165977,0.6007238455402251,0.5686725990473729,150563.546875,18071.017578125,3482.701416015625
109,4096,0.001,32,MCN,16832.0,13025,0.8320142,0.0003482371,0.0024349962,0.5091620841051971,0.5011828770553821,0.493174766680088,0.4940547775807361,0.494721836499542,0.5132097625816933,66917.5546875,168527.890625,168698.765625
110,4096,0.001,32,SCARF,14048.0,13025,0.7645273,0.00042208948,0.39129925,,,,,,,,,
111,4096,0.001,32,SUBTAB,7904.0,13025,0.83336216,0.0003085011,0.0010537755,,,,,,,,,
112,4096,0.001,64,CLIP,13633.0,50625,0.8140581,0.0003793553,0.0024937254,0.5238445138108921,0.5001222543102785,0.5,0.5,0.5,0.5239877413875863,27673.556640625,34903.1953125,60394.33203125
113,4096,0.001,64,CONTROL,,50625,,,0.003629447,,,,,,,,,
114,4096,0.001,64,GMC,276032.0,113601,0.79239124,0.0003962059,0.00028923154,0.5704012719343028,0.5338055369065929,0.5448504782197823,0.5010021946363902,0.6269713711702662,0.5750448620906103,44215.90625,50296.015625,46024.578125
115,4096,0.001,64,ICEH,93121.0,130113,0.8732873,0.00027069618,0.00053208787,0.5,0.5,0.543066662452192,0.5074875829783186,0.5002673796791444,0.5,19541.552734375,12928.7041015625,23813.05859375
116,4096,0.001,64,MCN,39808.0,50625,0.8281635,0.00037850867,0.0009304431,0.5039516995590044,0.5104478592767044,0.5061323559690992,0.4992695869599189,0.5057567878984843,0.5066875900011077,19720.560546875,392783.4375,88302.0078125
117,4096,0.001,64,SCARF,54720.0,50625,0.6783629,0.0004418803,0.0053459886,,,,,,,,,
118,4096,0.001,64,SUBTAB,30144.0,50625,0.8337446,0.0003222165,0.0009917091,,,,,,,,,
119,4096,0.001,128,CLIP,51841.0,199553,0.82047194,0.0003133967,0.0005450416,0.5,0.5,0.5111047959637938,0.5008255365987893,0.5757526516382545,0.5135915518960233,10109.8837890625,91980.234375,5134.1767578125
120,4096,0.001,128,CONTROL,,199553,,,0.002919706,,,,,,,,,
