,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,latitude,longitude
98,512,0.001,512,CLIP,26596905.0,27412576,0.6815137,0.8967546514012408,0.4827611038573745,2052.369384765625,6053.34423828125
99,512,0.001,512,CONTROL,,27412576,,,0.4758784364004974,,
100,512,0.001,512,GMC,54506064.0,27937888,0.7375577,0.8725986978822426,0.6173827903783071,664.3071899414062,4191.30029296875
101,512,0.001,512,ICEH,27384873.0,28200544,0.64563173,0.8191159057722769,0.730991540093311,1576.2423095703125,8981.9443359375
102,512,0.001,512,MCN,26623016.0,27412576,0.6678148,0.8975100877350932,0.5180057633102697,755.6151123046875,11280.080078125
103,512,0.001,512,SCARF,27646504.0,27412576,0.45756653,0.6663613318290409,0.6703281242668622,,
104,512,0.001,512,SUBTAB,27122216.0,27412576,0.64063334,0.9005695030074458,0.4928945714500726,,
105,512,0.0025,128,CLIP,25718697.0,25775200,0.87898815,0.7129918415301866,0.5378789626030999,2455.429931640625,10328.4150390625
106,512,0.0025,128,CONTROL,,25775200,,,0.5185201111009525,,
107,512,0.0025,128,GMC,54309072.0,26981728,0.6187635,0.795546781607424,0.619765390058096,924.0477294921876,6315.11572265625
108,512,0.0025,128,ICEH,27187881.0,27244384,0.57864505,0.7694978411674658,0.4627012996849357,815.199951171875,8134.3046875
109,512,0.0025,128,MCN,25725224.0,25775200,0.68927133,0.8686691391169502,0.6818782275529937,897.9373168945312,10702.0205078125
110,512,0.0025,128,SCARF,25784488.0,25775200,0.8186907,0.7839075565040537,0.802569912575027,,
111,512,0.0025,128,SUBTAB,25751720.0,25775200,0.62406445,0.8978405922988723,0.6675625239025702,,
112,512,0.0025,256,CLIP,25945897.0,26157152,0.59067905,0.8404593142871286,0.4729184200147778,2106.25537109375,7333.673828125
113,512,0.0025,256,CONTROL,,26157152,,,0.448921528340817,,
114,512,0.0025,256,GMC,54374736.0,27202144,0.61186117,0.8266707363471737,0.7062948217084776,851.8568725585938,4714.94287109375
115,512,0.0025,256,ICEH,27253545.0,27464800,0.6553377,0.4728207639458346,0.7497250108623615,659.83251953125,8889.6474609375
116,512,0.0025,256,MCN,25958952.0,26157152,0.7452048,0.9040013729336766,0.6447664053810397,4540.68212890625,4279.37548828125
117,512,0.0025,256,SCARF,26208552.0,26157152,0.6174152,0.8319745620659678,0.7106496534747944,,
118,512,0.0025,256,SUBTAB,26077480.0,26157152,0.63859594,0.902639143892876,0.6549191276477117,,
119,512,0.0025,512,CLIP,26596905.0,27412576,0.5152636,0.8243044625444111,0.350102081055103,1706.3580322265625,14916.3349609375
120,512,0.0025,512,CONTROL,,27412576,,,0.5153856701131546,,
121,512,0.0025,512,GMC,54506064.0,27937888,0.6314753,0.8267747514431724,0.679916198963565,671.5633544921875,5276.5146484375
122,512,0.0025,512,ICEH,27384873.0,28200544,0.6732417,0.355003457872807,0.7179115888915959,933.9652099609376,8396.3408203125
123,512,0.0025,512,MCN,26623016.0,27412576,0.7402378,0.8989144139076419,0.4750026709438971,1589.612548828125,17795.634765625
124,512,0.0025,512,SCARF,27646504.0,27412576,0.6115131,0.8172522944556203,0.4924365655862215,,
125,512,0.0025,512,SUBTAB,27122216.0,27412576,0.6458285,0.9012008161387588,0.5967972626765423,,
