,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Hour,Month,DayofWeek,Environment_Type,Altitude_m,PM_sub_2_5_sub_particulate_matter_Hourly_measured
73,4096,0.0005,64,ICEH,80833.0,105537,0.35746586,0.16059949,0.14441013,0.0430826732730639,0.1065719210849734,0.1612643921332186,0.3262195121951219,2501.9365234375,1290.02099609375
74,4096,0.0005,64,MCN,37760.0,36289,0.11774165,0.31826976,0.14796783,0.0372326708728646,0.1400815075903323,0.1733419572258536,0.502349406807971,3825.192138671875,389.6466979980469
75,4096,0.0005,64,SCARF,40384.0,36289,0.1608038,0.29257977,0.14758201,,,,,,
76,4096,0.0005,64,SUBTAB,19904.0,36289,0.59181654,0.17093249,0.14722313,,,,,,
77,4096,0.0005,128,CLIP,39553.0,138113,0.28022107,0.18888094,0.14486258,0.0512759827509737,0.1397209798094371,0.1571180757147037,0.4781074596784108,3937.0322265625,1234.38037109375
78,4096,0.0005,128,CONTROL,,138113,,,0.14671656,,,,,,
79,4096,0.0005,128,GMC,210560.0,171137,0.08652328,0.22723319,0.14279796,0.0468632592604874,0.1288856310051022,0.1644519262372986,0.339358657654688,2563.846435546875,136.29591369628906
80,4096,0.0005,128,ICEH,89089.0,187649,0.39971787,0.16302826,0.12722855,0.0473429071361978,0.117035437565531,0.1689702595000125,0.4431631225915255,2294.448974609375,3692.46923828125
81,4096,0.0005,128,MCN,91904.0,138113,0.10195023,0.35767278,0.14658266,0.0533213983076005,0.1316886905482283,0.151669641067075,0.4242619723573134,1712.1566162109375,255.0646209716797
82,4096,0.0005,128,SCARF,154496.0,138113,0.13672253,0.3453084,0.14442405,,,,,,
83,4096,0.0005,128,SUBTAB,72576.0,138113,0.5616192,0.17270283,0.14694878,,,,,,
84,4096,0.0007,32,CLIP,3745.0,9953,0.14839733,0.26877192,0.15146837,0.0465349048377812,0.1420111863270234,0.1668301601895763,0.5021594490170045,3831.0966796875,1350.6932373046875
85,4096,0.0007,32,CONTROL,,9953,,,0.15988557,,,,,,
86,4096,0.0007,32,GMC,198176.0,66401,0.09082624,0.2173017,0.14598826,0.0436707752192418,0.1185025219597416,0.1716871482328189,0.3738600362599366,2520.91455078125,140.45997619628906
87,4096,0.0007,32,ICEH,76705.0,82913,0.8439032,0.15919045,0.14584333,0.0391546836597382,0.0843926553672316,0.1439949258391881,0.25,3057.254150390625,475.2976379394531
88,4096,0.0007,32,MCN,16832.0,9953,0.10762977,0.31860268,0.15341747,0.0412105965865706,0.0988358242628383,0.1612613841803284,0.4324028899416504,18054.375,211.04214477539065
89,4096,0.0007,32,SCARF,10976.0,9953,0.1650454,0.28603503,0.15083745,,,,,,
90,4096,0.0007,32,SUBTAB,5856.0,9953,0.61536735,0.1800448,0.15025252,,,,,,
91,4096,0.0007,64,CLIP,11585.0,36289,0.10437695,0.23021883,0.14744957,0.0481856588156255,0.1452280908797862,0.1628959381930604,0.4897430119348256,3800.25927734375,1406.4619140625
92,4096,0.0007,64,CONTROL,,36289,,,0.14753506,,,,,,
93,4096,0.0007,64,GMC,202304.0,89025,0.08618114,0.22435965,0.14106092,0.0480871413629802,0.1250627335979998,0.1743800290268766,0.3674869855962839,1894.2193603515625,167.4617156982422
94,4096,0.0007,64,ICEH,80833.0,105537,0.8494461,0.16010387,0.14080961,0.0504987621754167,0.0939462463313018,0.1466679644530699,0.3262195121951219,2545.205078125,1428.167236328125
95,4096,0.0007,64,MCN,37760.0,36289,0.16034444,0.40039408,0.14726777,0.0504329950913241,0.1300483783140385,0.1657141681190137,0.4309717494864077,3431.0400390625,485.3761291503906
96,4096,0.0007,64,SCARF,40384.0,36289,0.114351355,0.3160701,0.14514355,,,,,,
97,4096,0.0007,64,SUBTAB,19904.0,36289,0.8137057,0.17445219,0.14683814,,,,,,
98,4096,0.0007,128,CLIP,39553.0,138113,0.30932468,0.18385603,0.14632612,0.0469664296791573,0.1405376315884472,0.1635838141226402,0.4641649040269185,13630.7001953125,1430.95947265625
99,4096,0.0007,128,CONTROL,,138113,,,0.14868207,,,,,,
100,4096,0.0007,128,GMC,210560.0,171137,0.08078829,0.22747962,0.14570197,0.0408310450367537,0.1238520366292785,0.1571195079674118,0.3473727947507039,1741.8023681640625,179.8997039794922
101,4096,0.0007,128,ICEH,89089.0,187649,0.8697872,0.16184461,0.14546132,0.0558365345334802,0.1065724772325824,0.15121955807852,0.5567396760567811,2569.03515625,914.846435546875
