,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,c,x,y
78,16,0.03,3,ICEH,120,,,,,0.75,0.13439782680943607,0.08002745341509576
79,16,0.03,3,MCN,48,,,,,0.5,0.23568195104598993,0.1481468059122562
80,16,0.03,4,CLIP,65,,,,,0.5,0.2972587406635284,0.16407057642936704
81,16,0.03,4,GMC,220,,,,,0.5,0.22961092889308926,0.13223140984773632
82,16,0.03,4,ICEH,125,,,,,0.7,0.07183092553168532,0.07259866076783504
83,16,0.03,4,MCN,72,,,,,0.5,0.23375995755195614,0.1336007453501224
84,16,0.05,2,CLIP,25,,,,,0.4666666666666666,0.24193032085895533,0.151737505197525
85,16,0.05,2,GMC,210,,,,,0.5,0.18815982341766352,0.11618759781122201
86,16,0.05,2,ICEH,115,,,,,0.5833333333333333,0.1361027469858527,0.08701281892135734
87,16,0.05,2,MCN,28,,,,,0.5,0.2813259869813919,0.14871932640671726
88,16,0.05,3,CLIP,43,,,,,0.4666666666666666,0.20139302909374232,0.13302822485566135
89,16,0.05,3,GMC,215,,,,,0.5,0.21535584926605225,0.1573280811309814
90,16,0.05,3,ICEH,120,,,,,0.5,0.18805701136589048,0.1573280811309814
91,16,0.05,3,MCN,48,,,,,0.5,0.25167418718338014,0.12743846327066416
92,16,0.05,4,CLIP,65,,,,,0.5333333333333333,0.19312125146389003,0.14837259650230403
93,16,0.05,4,GMC,220,,,,,0.55,0.26681150496006006,0.17029215991497035
94,16,0.05,4,ICEH,125,,,,,0.5333333333333333,0.17610324937850236,0.1752484154887497
95,16,0.05,4,MCN,72,,,,,0.5,0.2721076101064682,0.1573280811309814
96,32,0.001,2,CLIP,25,,,,,0.5833333333333333,0.24491158127784723,0.17253396809101101
97,32,0.001,2,GMC,210,,,,,0.41666666666666663,0.2952296361327171,0.1665960311889648
98,32,0.001,2,ICEH,115,,,,,0.6,0.1234206991968676,0.08725479124113913
99,32,0.001,2,MCN,30,,,,,0.4666666666666666,0.1756326854228973,0.15790060162544245
100,32,0.001,3,CLIP,43,,,,,0.5833333333333333,0.18371619284152982,0.14116986766457554
101,32,0.001,3,GMC,215,,,,,0.3833333333333333,0.2922582685947418,0.11835904940962787
102,32,0.001,3,ICEH,120,,,,,0.6,0.1038948599107243,0.08802333271596577
103,32,0.001,3,MCN,51,,,,,0.5333333333333333,0.21188078224658963,0.13932892233133312
104,32,0.001,4,CLIP,65,,,,,0.4666666666666667,0.28233585953712464,0.1602073088288307
105,32,0.001,4,GMC,220,,,,,0.4666666666666666,0.32495043277740476,0.11150387674570081
106,32,0.001,4,ICEH,125,,,,,0.6,0.17992793396115297,0.1201617162674665
107,32,0.001,4,MCN,76,,,,,0.45,0.2872912526130676,0.14720231667160982
108,32,0.002,2,CLIP,25,,,,,0.5833333333333333,0.2203913927078247,0.15880564004182812
109,32,0.002,2,GMC,210,,,,,0.45,0.26137621700763697,0.15904444158077236
110,32,0.002,2,ICEH,115,,,,,0.8,0.1355128591880202,0.05505325487756631
111,32,0.002,2,MCN,30,,,,,0.35,0.19384342730045315,0.1469665929675102
