,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
77,4096,0.0005623413251903,128,CLIP,167681.0,331906,0.22608885,0.7831135856189788,0.8578129270716233,0.0256581306457519,0.0309669505804777,0.0057254168204963,0.0191218703985214,0.0102262487635016,0.1114875823259353,0.0023814169690012,0.0071776234544813,0.009772346355021,0.0654653459787368
78,4096,0.0005623413251903,128,CONTROL,,331906,,,0.8290357867949603,,,,,,,,,,
79,4096,0.0005623413251903,128,GMC,532352.0,364930,0.67641413,0.6916065305213015,0.8789897521824961,0.0215166620910167,0.0605652555823326,0.0059209405444562,0.0181645546108484,0.0054277670569717,0.0818843320012092,0.0048738466575741,0.003893518820405,0.0102202026173472,0.0457800179719924
80,4096,0.0005623413251903,128,ICEH,217217.0,381442,0.296938,0.625690443801685,0.8916271708860766,0.0417984463274478,0.0245079044252634,0.0013422217452898,0.0500442273914813,0.0157897640019655,0.1637485921382904,0.0003744357381947,0.0003851532528642,0.0007809843518771,0.1182097867131233
81,4096,0.0005623413251903,128,MCN,184064.0,331906,0.2806763,0.7172831714653147,0.8474683136234347,0.0338278859853744,0.0151076633483171,0.0033327785786241,0.0261312741786241,0.0260686837136745,0.1670728325843811,0.0011410603765398,0.0012776823714375,0.0018109267111867,0.14292573928833
82,4096,0.0005623413251903,128,SCARF,397696.0,381442,0.28907716,0.6054259749480937,0.8725402761615215,,,,,,,,,,
83,4096,0.0005623413251903,128,SUBTAB,249984.0,250242,0.33302513,0.5930611282305888,0.7153954916831995,,,,,,,,,,
84,4096,0.001,32,CLIP,11201.0,21538,0.1956479,0.7959847871560072,0.8054670814815781,0.0295590758323669,0.0401609167456626,0.0040719457902014,0.0252978149801492,0.0125194452702998,0.142664447426796,0.0018959458684548,0.0185728371143341,0.0063100839033722,0.0894492417573928
85,4096,0.001,32,CONTROL,,21538,,,0.7939211905297807,,,,,,,,,,
86,4096,0.001,32,GMC,504512.0,183202,0.6199301,0.6751007243271794,0.8206256530576874,0.0215741302818059,0.0455463044345378,0.0056380839087068,0.0199948158115148,0.0051149320788681,0.0662632659077644,0.0069946832954883,0.0042965156026184,0.0119852581992745,0.0481222569942474
87,4096,0.001,32,ICEH,204833.0,215170,0.29428822,0.6229174467797001,0.8420422806099856,0.0469282716512679,0.0128033189103007,0.0032918707001954,0.1174800470471381,0.0172544568777084,0.1818478852510452,0.004085125401616,0.0006496614078059,0.0002935875381808,0.1435626149177551
88,4096,0.001,32,MCN,15296.0,21538,0.31444058,0.7165164371383042,0.802002346647789,0.055373165756464,0.0174575913697481,0.0063715986907482,0.0320189259946346,0.0125724673271179,0.1855811774730682,0.0015544322086498,0.0029126806184649,0.0031344585586339,0.1261644065380096
89,4096,0.001,32,SCARF,360640.0,353410,0.32573307,0.6238905486193705,0.90260246131615,,,,,,,,,,
90,4096,0.001,32,SUBTAB,182112.0,182178,0.2317353,0.5963955487068673,0.7365966344652155,,,,,,,,,,
91,4096,0.001,64,CLIP,42881.0,84034,0.1460631,0.7910562384199178,0.8329183417337953,0.0258847586810588,0.0453840270638465,0.0051819756627082,0.0237522665411233,0.0083818435668945,0.1177723631262779,0.0023506574798375,0.0128999166190624,0.0089997258037328,0.0841225609183311
92,4096,0.001,64,CONTROL,,84034,,,0.8200825239284464,,,,,,,,,,
93,4096,0.001,64,GMC,511744.0,221250,0.66165227,0.6428100631038831,0.8720683182118438,0.0223838482052087,0.0570619106292724,0.0060748159885406,0.0192411448806524,0.0053251306526362,0.0874521508812904,0.0053321965970098,0.0043561747297644,0.0095229474827647,0.0538404062390327
94,4096,0.001,64,ICEH,208961.0,250114,0.29688606,0.5989905131127795,0.8899561857768199,0.0342214405536651,0.0089760199189186,0.0022129262797534,0.0455811507999897,0.0124700758606195,0.2842682301998138,0.0002342223015148,0.0004710606881417,0.0006999949691817,0.1472381055355071
