,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Month,DayofMonth,CRSDepTime,CRSArrTime,Distance
35,4096,0.0001778279410038,128,CLIP,55809.0,137985,0.2577572,0.018633497878909,0.016996543854475,0.0774614034980293,0.0485826891831937,0.0133850863203406,0.0111111346632242,0.1061830520629882
36,4096,0.0001778279410038,128,CONTROL,,137985,,,0.017005855217576,,,,,
37,4096,0.0001778279410038,128,GMC,226688.0,171009,0.26048452,0.0188656821846961,0.0169577077031135,0.0895606877791718,0.0405055851438617,0.0102726155892014,0.0131681775674223,0.0212222039699554
38,4096,0.0001778279410038,128,ICEH,105345.0,187521,0.41411433,0.0187615435570478,0.0169227104634046,0.09364497647565,0.0275308485017465,0.0210042037069797,0.009962554089725,0.0232597384601831
39,4096,0.0001778279410038,128,MCN,72192.0,137985,0.2077213,0.0186849385499954,0.0169873442500829,0.0935008792331665,0.0427360212201879,0.0159794595092534,0.0157426912337541,0.1300344318151474
40,4096,0.0001778279410038,128,SCARF,203904.0,187521,0.5867484,0.0186789706349372,0.0169901605695486,,,,,
41,4096,0.0001778279410038,128,SUBTAB,105344.0,105473,0.15822734,0.0187695510685443,0.0171114578843116,,,,,
42,4096,0.0003162277660168,32,CLIP,4737.0,9921,0.21684758,0.0187730211764574,0.0169515255838632,0.0970141990411321,0.0460897566988189,0.0167090501636266,0.0190251935273408,0.1199240759015083
43,4096,0.0003162277660168,32,CONTROL,,9921,,,0.0169826466590165,,,,,
44,4096,0.0003162277660168,32,GMC,198848.0,66177,0.56562364,0.0188721027225255,0.0169694256037473,0.0809330901492543,0.0249276705082083,0.0084761455655097,0.0152121251448988,0.0229822378605604
45,4096,0.0003162277660168,32,ICEH,92961.0,98145,0.44704223,0.0187664348632097,0.0170779135078191,0.0875208847186011,0.0414705341415712,0.0177731066942214,0.009042290970683,0.0121641485020518
46,4096,0.0003162277660168,32,MCN,8832.0,9921,0.14590429,0.0186157450079917,0.0169544462114572,0.0908851485599789,0.0422492957480334,0.0302187819033861,0.0189777761697769,0.2475792467594146
47,4096,0.0003162277660168,32,SCARF,166848.0,159585,0.5838319,0.0188352167606353,0.01697838306427,,,,,
48,4096,0.0003162277660168,32,SUBTAB,62048.0,62081,0.17360905,0.0188095569610595,0.0171809755265712,,,,,
49,4096,0.0003162277660168,64,CLIP,15617.0,36225,0.22810103,0.0187135357409715,0.0169719513505697,0.0885729231692151,0.0442098403388726,0.011770044453442,0.0139369601383805,0.1919328272342682
50,4096,0.0003162277660168,64,CONTROL,,36225,,,0.0169904585927724,,,,,
51,4096,0.0003162277660168,64,GMC,206080.0,88833,0.2668023,0.0187712423503398,0.0170096382498741,0.0904553386069298,0.0309182981656557,0.0114225996658205,0.0167304258793592,0.0248180497437715
52,4096,0.0003162277660168,64,ICEH,97089.0,117697,0.3162905,0.0187423061579465,0.0169333536177873,0.0874392038591952,0.0475877050070598,0.0085963187739252,0.0131720369681715,0.0139023717492818
53,4096,0.0003162277660168,64,MCN,23808.0,36225,0.12351234,0.0186283849179744,0.0169690307229757,0.0944954132282139,0.0456832495731728,0.0364255867898463,0.0172570962458848,0.2106369733810424
54,4096,0.0003162277660168,64,SCARF,179200.0,166849,0.4111934,0.0187250897288322,0.017036261036992,,,,,
55,4096,0.0003162277660168,64,SUBTAB,72384.0,72449,0.12830609,0.0187643636018037,0.017123581841588,,,,,
56,4096,0.0003162277660168,128,CLIP,55809.0,137985,0.25197253,0.0185850150883197,0.0170235857367515,0.0894233047863453,0.0455081174377021,0.0079268915578722,0.0105609130114316,0.2217468172311783
57,4096,0.0003162277660168,128,CONTROL,,137985,,,0.0170572604984045,,,,,
58,4096,0.0003162277660168,128,GMC,226688.0,171009,0.3048409,0.0187739450484514,0.016958825290203,0.0905832781568887,0.0369549182475632,0.0098559418693184,0.0152175584807991,0.0276277288794517
