,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,longitude
196,1024,0.007,64,CLIP,34305.0,67201,0.46720874,0.084906876,0.10901648,11.676359176635742,249.1875,0.0169434323906898,0.0030637145973742,0.0113676665350794,0.0009095055283978,11.656503677368164,4.691254138946533
197,1024,0.007,64,CONTROL,,67201,,,0.1305997,,,,,,,,
198,1024,0.007,64,GMC,424256.0,191809,0.54056746,0.2880825,0.15003054,3.461434841156006,259.1875,0.0688291862607002,0.0586835145950317,0.0868078619241714,0.0456415489315986,22.316797256469727,3.1485085487365723
199,1024,0.007,64,ICEH,175425.0,208321,0.55554426,0.26889315,0.14185925,3.775298595428467,300.125,0.1351505517959594,0.1114978268742561,0.125793382525444,0.1159235015511512,20.060321807861328,10.05070686340332
200,1024,0.007,64,MCN,40832.0,67201,0.42380026,0.13364892,0.12431801,3.594113349914551,163.0625,0.0856615006923675,0.036183800548315,0.0713139772415161,0.1019768565893173,22.316797256469727,10.05070686340332
201,1024,0.007,64,SCARF,71296.0,67201,0.63420767,0.21787424,0.14437272,,,,,,,,
202,1024,0.007,64,SUBTAB,50816.0,67201,0.39369616,0.08658263,0.12798119,,,,,,,,
203,1024,0.007,128,CLIP,134145.0,265473,0.52484226,0.087971605,0.12398016,6.983373641967773,164.0625,0.0147390104830265,0.004011136945337,0.0091783441603183,0.0011200145818293,7.616456985473633,4.62822151184082
204,1024,0.007,128,CONTROL,,265473,,,0.13394435,,,,,,,,
205,1024,0.007,128,GMC,432512.0,298497,0.58634514,0.29605258,0.15608938,3.409710645675659,227.9375,0.0582543686032295,0.0483989305794239,0.0724265277385711,0.0403763502836227,14.416926383972168,7.639301300048828
206,1024,0.007,128,ICEH,183681.0,315009,0.57159996,0.22223333,0.1365971,4.538928031921387,448.625,0.2058721482753753,0.1283062547445297,0.1622853577136993,0.1711571514606475,14.000558853149414,3.816800594329834
207,1024,0.007,128,MCN,147200.0,265473,0.36800888,0.1160801,0.14026281,3.782492160797119,137.5,0.106942743062973,0.0845160111784935,0.0682737976312637,0.0441897623240947,15.87054443359375,10.05070686340332
208,1024,0.007,128,SCARF,281856.0,265473,0.6209589,0.27547657,0.13771258,,,,,,,,
209,1024,0.007,128,SUBTAB,199936.0,265473,0.49823081,0.093442634,0.17618191,,,,,,,,
210,1024,0.01,32,CLIP,8961.0,17217,0.56629187,0.11682989,0.10952697,7.536869049072266,136.8125,0.0116412062197923,0.0009868697961792,0.007336288690567,0.0007731466321274,10.497961044311523,4.667653560638428
211,1024,0.01,32,CONTROL,,17217,,,0.12411178,,,,,,,,
212,1024,0.01,32,GMC,420128.0,163041,0.54954696,0.29179183,0.16615668,3.461434841156006,201.9375,0.1031139642000198,0.0567274428904056,0.162821888923645,0.0503858476877212,16.939119338989258,6.248940467834473
213,1024,0.01,32,ICEH,171297.0,179553,0.50202966,0.24707809,46.654503,10.072224617004396,154.9375,0.0874277055263519,0.0943771079182624,0.0701723024249076,0.0931778401136398,9.48370361328125,10.243643760681152
214,1024,0.01,32,MCN,12224.0,17217,0.36351296,0.12970027,0.11975231,4.927937030792236,205.75,0.1740546077489853,0.1954981088638305,0.1342388838529586,0.1706813424825668,9.48370361328125,10.05070686340332
215,1024,0.01,32,SCARF,18240.0,17217,0.6791876,0.22240451,0.14040029,,,,,,,,
216,1024,0.01,32,SUBTAB,13120.0,17217,0.5861188,0.072020404,0.10598789,,,,,,,,
217,1024,0.01,64,CLIP,34305.0,67201,0.48899367,0.086563066,0.108164005,14.695354461669922,143.5,0.0165842194110155,0.0013586319983005,0.009974505752325,0.0007708013872615,10.497961044311523,4.533255577087402
218,1024,0.01,64,CONTROL,,67201,,,0.14229856,,,,,,,,
219,1024,0.01,64,GMC,424256.0,191809,0.5614287,0.28002948,0.20742387,3.414149045944214,291.25,0.0508285164833068,0.0519498996436595,0.109546922147274,0.0877598598599433,15.954413414001465,3.980449914932251
220,1024,0.01,64,ICEH,175425.0,208321,0.44560596,0.30248246,0.8819419,8.664016723632812,198.0625,0.1086412072181701,0.0927159264683723,0.0864040851593017,0.1026088297367096,8.832674026489258,8.540191650390625
221,1024,0.01,64,MCN,40832.0,67201,0.38030356,0.11996704,0.12286185,3.444333076477051,248.5625,0.1743187308311462,0.1979358792304992,0.1449847817420959,0.1550783812999725,6.996870040893555,4.410349845886231
222,1024,0.01,64,SCARF,71296.0,67201,0.6132764,0.166546,0.12297901,,,,,,,,
223,1024,0.01,64,SUBTAB,50816.0,67201,0.39291632,0.09367198,0.1365057,,,,,,,,
224,1024,0.01,128,CLIP,134145.0,265473,0.44924623,0.08852704,0.11562602,5.989461898803711,121.1875,0.0137770380824804,0.0027184598147869,0.0112201981246471,0.0007757272105664,10.497961044311523,4.650053024291992
225,1024,0.01,128,CONTROL,,265473,,,0.13626227,,,,,,,,
226,1024,0.01,128,GMC,432512.0,298497,0.54013085,0.23943512,0.14038113,3.461434841156006,148.125,0.0486098378896713,0.060279868543148,0.0873168185353279,0.052549909800291,14.048137664794922,6.19606876373291
227,1024,0.01,128,ICEH,183681.0,315009,0.5325194,0.22411999,0.1396889,18.89308738708496,292.625,0.774212121963501,0.5990014672279358,0.4604636132717132,0.618787407875061,20.624629974365234,4.243599891662598
228,1024,0.01,128,MCN,147200.0,265473,0.3812684,0.12219135,0.11754216,4.397404670715332,175.875,0.1594564914703369,0.1369823515415191,0.1198752149939537,0.1387027353048324,9.48370361328125,10.05070686340332
229,1024,0.01,128,SCARF,281856.0,265473,0.46955767,0.16784163,0.21362671,,,,,,,,
230,1024,0.01,128,SUBTAB,199936.0,265473,0.46821007,0.0872382,0.13213775,,,,,,,,
