,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,city,area,animal,furniture,rooms,bathroom,parking_spaces,hoa_(BRL),rent_amount_(BRL),property_tax_(BRL),fire_insurance_(BRL)
80,1024,0.0005,128,ICEH,234241.0,414721,0.5573247,0.00024526584,8.0727965e-05,0.3478260869565217,0.0875,0.8666666666666667,0.5714285714285714,1.89130437374115,3.3913042545318604,5.34782600402832,15.727551460266112,0.0211051069200038,7.659778594970703,0.0326700173318386
81,1024,0.0005,128,MCN,197760.0,365185,0.18741222,0.0013339593,0.0001430513,0.357487922705314,0.05,0.3444444444444444,0.5077922077922078,1.7391303777694702,2.08695650100708,2.17391300201416,12.410396575927734,1.445063829421997,8.298738479614258,0.8089368939399719
82,1024,0.0005,128,SCARF,381568.0,365185,0.23300421,0.0010516463,9.606314e-05,,,,,,,,,,,
83,1024,0.0005,128,SUBTAB,250496.0,365185,0.14874879,0.0012820428,0.000100913036,,,,,,,,,,,
84,1024,0.0007,32,CLIP,24673.0,36001,0.16282184,0.0014288325,0.00013883342,0.257487922705314,0.025,0.8,0.6701298701298701,1.7173912525177002,3.02173924446106,3.3913042545318604,9.428457260131836,0.8234171867370605,8.368106842041016,0.3603926002979278
85,1024,0.0007,32,CONTROL,,36001,,,0.00015263392,,,,,,,,,,,
86,1024,0.0007,32,GMC,570400.0,216673,0.33931667,0.0006040523,6.581104e-05,0.2478260869565217,0.05,0.4888888888888889,0.5454545454545454,0.6521739363670349,1.13043475151062,1.8043478727340696,16.10302734375,0.2733743190765381,6.218982696533203,0.2131106555461883
87,1024,0.0007,32,ICEH,221857.0,233185,0.5347679,0.00018272642,0.00013072632,0.2922705314009661,0.025,0.6444444444444444,0.5428571428571428,2.67391300201416,2.04347825050354,2.02173924446106,14.918453216552734,0.0167811270803213,8.294390678405762,0.0319766141474247
88,1024,0.0007,32,MCN,27936.0,36001,0.22176674,0.0012446208,0.00017593136,0.2115942028985507,0.0583333333333333,0.2777777777777778,0.5532467532467533,2.9782607555389404,5.5,6.804347991943359,14.143147468566896,1.3295910358428955,11.121726036071776,1.392504096031189
89,1024,0.0007,32,SCARF,37024.0,36001,0.27424756,0.0014799379,0.00013034859,,,,,,,,,,,
90,1024,0.0007,32,SUBTAB,28832.0,36001,0.17673542,0.0015191747,0.00013398872,,,,,,,,,,,
91,1024,0.0007,64,CLIP,63681.0,108865,0.17029941,0.0012848376,0.00014222528,0.3193236714975845,0.1,0.8666666666666667,0.4961038961038961,0.8695651888847351,0.739130437374115,1.7173912525177002,9.24687671661377,0.0427479855716228,5.418179035186768,0.0275945179164409
92,1024,0.0007,64,CONTROL,,108865,,,0.000112264635,,,,,,,,,,,
93,1024,0.0007,64,GMC,574528.0,254657,0.3002863,0.00053712825,0.00010859974,0.2565217391304347,0.025,0.5,0.5,0.760869562625885,1.0,1.54347825050354,16.089282989501953,0.2490266859531402,6.286043167114258,0.1957110911607742
94,1024,0.0007,64,ICEH,225985.0,271169,0.50790066,0.00023374138,0.00014423429,0.391304347826087,0.025,0.5777777777777777,0.5948051948051949,2.7826087474823,2.54347825050354,6.4347825050354,15.154303550720217,0.0161018949002027,7.32938814163208,0.0538516603410244
95,1024,0.0007,64,MCN,70208.0,108865,0.17596856,0.0012692113,0.00012982255,0.2647342995169082,0.025,0.8555555555555556,0.5675324675324676,2.58695650100708,2.8478260040283203,5.32608699798584,13.090588569641112,1.4605615139007568,8.858176231384277,0.9647678732872008
96,1024,0.0007,64,SCARF,112960.0,108865,0.30638793,0.0014919633,0.00012870764,,,,,,,,,,,
97,1024,0.0007,64,SUBTAB,80192.0,108865,0.19337013,0.0013409628,9.8400866e-05,,,,,,,,,,,
98,1024,0.0007,128,CLIP,184705.0,365185,0.173362,0.0010513277,6.7109526e-05,0.3748792270531401,0.125,0.8222222222222222,0.561038961038961,1.2391303777694702,0.782608687877655,1.41304349899292,8.901334762573242,0.0526570305228233,7.951516628265381,0.0224889311939477
99,1024,0.0007,128,CONTROL,,365185,,,9.264843e-05,,,,,,,,,,,
100,1024,0.0007,128,GMC,582784.0,398209,0.31359956,0.00045496866,0.00010114771,0.2652173913043478,0.025,0.5,0.5,0.760869562625885,1.02173912525177,1.65217387676239,19.921667098999023,0.2479092329740524,6.273532867431641,0.2158616483211517
101,1024,0.0007,128,ICEH,234241.0,414721,0.52062726,0.00023343391,0.00011549967,0.3376811594202898,0.025,0.6111111111111112,0.5142857142857142,1.63043475151062,3.0,3.54347825050354,15.554043769836426,0.0343626104295253,8.534421920776367,0.0240764766931533
102,1024,0.0007,128,MCN,197760.0,365185,0.1817111,0.0013219359,0.00012941829,0.1681159420289855,0.05,0.4222222222222222,0.5532467532467533,1.52173912525177,2.4782607555389404,2.23913049697876,14.024940490722656,1.1244906187057495,7.428667068481445,0.6878853440284729
103,1024,0.0007,128,SCARF,381568.0,365185,0.22375916,0.0010155678,7.2205235e-05,,,,,,,,,,,
104,1024,0.0007,128,SUBTAB,250496.0,365185,0.143344,0.001320208,0.00010137374,,,,,,,,,,,
105,1024,0.001,32,CLIP,24673.0,36001,0.22806099,0.0013208672,0.00014789373,0.2806763285024155,0.025,0.8333333333333333,0.6441558441558441,0.804347813129425,0.93478262424469,1.52173912525177,9.419354438781738,0.2261475622653961,6.992555618286133,0.1999452412128448
106,1024,0.001,32,CONTROL,,36001,,,0.0001256402,,,,,,,,,,,
107,1024,0.001,32,GMC,570400.0,216673,0.2948161,0.00056363066,0.00014992067,0.2478260869565217,0.05,0.5,0.5,0.739130437374115,1.13043475151062,1.86956524848938,19.01222419738769,0.2229780554771423,6.428910732269287,0.2222657054662704
108,1024,0.001,32,ICEH,221857.0,233185,0.48094493,0.0001970497,0.00014494827,0.3188405797101449,0.05,0.5,0.5142857142857142,2.4782607555389404,1.7608696222305298,6.043478488922119,13.813313484191896,0.0465559028089046,6.52540397644043,0.0139166582375764
109,1024,0.001,32,MCN,27936.0,36001,0.2681651,0.0011814821,0.00015885271,0.3893719806763285,0.025,0.8111111111111111,0.5961038961038961,2.9782607555389404,4.23913049697876,3.58695650100708,15.539608001708984,1.3370046615600586,9.428400039672852,0.959815502166748
110,1024,0.001,32,SCARF,37024.0,36001,0.1624556,0.0009085451,0.00012946181,,,,,,,,,,,
111,1024,0.001,32,SUBTAB,28832.0,36001,0.14525126,0.0013972844,0.00012372666,,,,,,,,,,,
112,1024,0.001,64,CLIP,63681.0,108865,0.17086634,0.0012369683,0.00013302916,0.3589371980676328,0.1166666666666666,0.7666666666666666,0.6714285714285715,1.7608696222305298,1.04347825050354,2.60869574546814,10.757061958312988,0.0545165129005909,4.853733062744141,0.031097624450922
113,1024,0.001,64,CONTROL,,108865,,,0.0001286334,,,,,,,,,,,
