,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V6,V10,V12,V13,V14,V15
30,1024,0.0002,64,GMC,374336.0,171010,0.5878854,0.7327371761880254,0.7693357923028535,778.941162109375,3181413.5,58.32352828979492,770194.8125,7.205882549285889,29302.912109375,2.8235294818878174
31,1024,0.0002,64,ICEH,158657.0,187522,0.6883989,0.7579165951849945,0.7700434608566363,998.941162109375,2442489.75,178.38235473632812,1085298.0,8.823529243469238,21237.765625,1.2941176891326904
32,1024,0.0002,64,MCN,36544.0,58882,0.8194109,0.7265075484645738,0.7604899353805684,512.941162109375,3335599.5,145.23529052734375,301843.3125,8.764705657958984,29302.912109375,2.882352828979492
33,1024,0.0002,64,SCARF,62912.0,58882,0.7853165,0.7486954594841883,0.77165179847887,,,,,,,
34,1024,0.0002,64,SUBTAB,38336.0,58882,0.8182184,0.7314969691771029,0.760039600846343,,,,,,,
35,1024,0.0002,128,CLIP,117377.0,232450,0.8229492,0.7438490021158575,0.7519121347286556,776.4117431640625,6055210.5,201.55882263183597,1361911.5,38.79411697387695,18237.470703125,5.705882549285889
36,1024,0.0002,128,CONTROL,,232450,,,0.7415758849431006,,,,,,,
37,1024,0.0002,128,GMC,382592.0,265474,0.71469146,0.6764167667410076,0.7687603648424544,680.1470336914062,5987517.5,59.44117736816406,785325.1875,7.205882549285889,29302.912109375,2.7352941036224365
38,1024,0.0002,128,ICEH,166913.0,281986,0.69323415,0.7484631440498657,0.7666873963515755,932.2352905273438,6401996.5,198.4117584228516,1073731.625,9.441176414489746,227456.203125,1.2941176891326904
39,1024,0.0002,128,MCN,130432.0,232450,0.81838626,0.719977697718305,0.7282981643506605,507.9117736816406,3276002.5,125.02941131591795,291558.53125,7.088235378265381,29302.912109375,2.3235294818878174
40,1024,0.0002,128,SCARF,248704.0,232450,0.87636906,0.7555255332532739,0.7361933150340253,,,,,,,
41,1024,0.0002,128,SUBTAB,150400.0,232450,0.82243145,0.7295562417796078,0.751969320066335,,,,,,,
42,1024,0.0003,32,CLIP,7841.0,15106,0.8179161,0.7181370446617488,0.7658868016240636,373.23529052734375,6707989.0,229.1764678955078,1373678.625,39.32352828979492,91412.3203125,4.529411792755127
43,1024,0.0003,32,CONTROL,,15106,,,0.759249728369646,,,,,,,
44,1024,0.0003,32,GMC,370208.0,145282,0.5576555,0.7153385371990622,0.7705509807285412,188.26470947265625,3157238.25,59.735294342041016,720041.3125,7.617647171020508,29302.912109375,2.8235294818878174
45,1024,0.0003,32,ICEH,154529.0,161794,0.666403,0.7404250300223023,0.776973608966661,903.558837890625,6436757.0,108.73529052734376,1427967.875,7.705882549285889,25738.205078125,9.411765098571776
46,1024,0.0003,32,MCN,11104.0,15106,0.81426173,0.7485381998055698,0.7587993938354205,512.941162109375,3331885.25,108.14705657958984,236695.90625,9.441176414489746,29302.912109375,2.8235294818878174
47,1024,0.0003,32,SCARF,16096.0,15106,0.86902714,0.7498784811574313,0.7617229942242809,,,,,,,
48,1024,0.0003,32,SUBTAB,9952.0,15106,0.8196643,0.7470049179390404,0.7695359409847315,,,,,,,
49,1024,0.0003,64,CLIP,30017.0,58882,0.82658637,0.7484381254646308,0.7608473437410648,782.8529663085938,6078746.5,209.2941131591797,1211956.5,11.823529243469238,18237.470703125,5.705882549285889
50,1024,0.0003,64,CONTROL,,58882,,,0.7516548007090982,,,,,,,
51,1024,0.0003,64,GMC,374336.0,171010,0.52852523,0.7057921598902042,0.7644964831017327,908.7941284179688,3185495.75,58.411766052246094,778111.0625,7.147058963775635,29302.912109375,2.8235294818878174
52,1024,0.0003,64,ICEH,158657.0,187522,0.73899454,0.7533274718362213,0.7785890947561045,1213.61767578125,3205894.75,240.2941131591797,1244338.875,9.441176414489746,18537.5,1.7647058963775637
53,1024,0.0003,64,MCN,36544.0,58882,0.8192794,0.7274904214559387,0.7591317836106822,697.3529663085938,3307831.75,160.9705810546875,281945.75,9.20588207244873,29302.912109375,2.941176414489746
54,1024,0.0003,64,SCARF,62912.0,58882,0.8745756,0.7545426602619087,0.7646215760279065,,,,,,,
55,1024,0.0003,64,SUBTAB,38336.0,58882,0.8225353,0.7352283124606851,0.7511115400011437,,,,,,,
56,1024,0.0003,128,CLIP,117377.0,232450,0.8272334,0.7454394693200663,0.7558757934465603,777.2647094726562,6406643.0,214.6764678955078,1512558.875,15.411765098571776,32814.3828125,5.352941036224365
57,1024,0.0003,128,CONTROL,,232450,,,0.746458083147481,,,,,,,
58,1024,0.0003,128,GMC,382592.0,265474,0.6364243,0.6993552353176645,0.7630311088236976,740.4705810546875,4629553.5,59.882354736328125,743850.0,7.411764621734619,29302.912109375,2.8235294818878174
59,1024,0.0003,128,ICEH,166913.0,281986,0.83011156,0.7390597300852062,0.7781566306399039,512.941162109375,6434747.5,144.5294189453125,1361817.625,6.823529243469238,25738.205078125,24.47058868408203
60,1024,0.0003,128,MCN,130432.0,232450,0.81883764,0.72096057070967,0.7505861497112141,503.6470642089844,3335599.5,215.76470947265625,370714.875,7.558823585510254,29302.912109375,2.0
61,1024,0.0003,128,SCARF,248704.0,232450,0.87579155,0.7672949905644193,0.7511222622519587,,,,,,,
62,1024,0.0003,128,SUBTAB,150400.0,232450,0.82233554,0.7398174358094585,0.742019071310116,,,,,,,
63,1024,0.0005,32,CLIP,7841.0,15106,0.818154,0.7247669697489564,0.7612726596900554,928.7058715820312,3375963.25,208.2941131591797,1207965.625,73.73529052734375,18237.470703125,5.205882549285889
64,1024,0.0005,32,CONTROL,,15106,,,0.7441813918911191,,,,,,,
65,1024,0.0005,32,GMC,370208.0,145282,0.6992363,0.7365364270601018,0.7560509235432036,646.5294189453125,3092466.5,64.82353210449219,551901.3125,7.323529243469238,29302.912109375,2.8235294818878174
