,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,isns,northing,easting,resistivity
21,1024,0.0001778279410038,32,CLIP,3425.0,7585,0.87810367,9.331168621424331e-05,4.6550869228667126e-05,0.5655806679459465,0.21963690966367716,0.1096042357385158,0.0739364437758922
22,1024,0.0001778279410038,32,CONTROL,,7585,,,4.477332186070256e-05,,,,
23,1024,0.0001778279410038,32,GMC,171968.0,59905,0.41055003,6.867588672321259e-05,4.1891487853717374e-05,0.5,0.09449493139982215,0.07085786387324325,0.0260177040472626
24,1024,0.0001778279410038,32,ICEH,87713.0,91873,0.53568327,0.00018272350280308658,2.4729277356526933e-05,0.5164780623386936,0.15528969839215276,0.18371199443936348,0.03047221619635815
25,1024,0.0001778279410038,32,MCN,4448.0,7585,0.8589066999999999,0.00012222785517219806,4.786993667948873e-05,0.6023354793279252,0.21985944360494608,0.1710045561194419,0.18545166403055185
26,1024,0.0001778279410038,32,SCARF,145216.0,137953,0.810579785,0.0010013910628003677,1.576657450641459e-05,,,,
27,1024,0.0001778279410038,32,SUBTAB,56800.0,56833,0.468683865,0.0384206697344779,0.01554390683304515,,,,
28,1024,0.0001778279410038,64,CLIP,12993.0,29505,0.87888415,3.7772791074530226e-05,1.973722646653112e-05,0.5732049390137268,0.1394609734416007,0.12308498471975324,0.04747842438518995
29,1024,0.0001778279410038,64,CONTROL,,29505,,,1.95246093426245e-05,,,,
30,1024,0.0001778279410038,64,GMC,179200.0,79489,0.525791675,9.90188200375651e-05,2.0475567907850998e-05,0.5,0.09855699911713595,0.0749733075499534,0.02099124994128935
31,1024,0.0001778279410038,64,ICEH,91841.0,108353,0.445657625,7.714146704529277e-05,1.673376436883667e-05,0.5461616688431213,0.12409532815217969,0.07409157603979105,0.027752426452934652
32,1024,0.0001778279410038,64,MCN,15040.0,29505,0.81269145,7.143434049793586e-05,2.7657870305119333e-05,0.6067028932921463,0.1653776541352272,0.14776661247014994,0.12029413133859632
33,1024,0.0001778279410038,64,SCARF,157568.0,145217,0.978238035,0.0001047259502228949,1.384421511829674e-05,,,,
34,1024,0.0001778279410038,64,SUBTAB,67136.0,67201,0.60237163,0.0199476601846981,0.00084170760237605,,,,
35,1024,0.0001778279410038,128,CLIP,50561.0,116353,0.87631029,3.2435562388854673e-05,1.5181958133325171e-05,0.6238259164932654,0.1217083111405372,0.1160485818982124,0.0414718613028526
36,1024,0.0001778279410038,128,CONTROL,,116353,,,1.5631561382178746e-05,,,,
37,1024,0.0001778279410038,128,GMC,199808.0,149377,0.6166840499999999,5.554946801566872e-05,1.6344723917427354e-05,0.5,0.09132038056850425,0.06741980463266364,0.02439512684941285
38,1024,0.0001778279410038,128,ICEH,100097.0,165889,0.482582685,0.00010092121374325532,1.4329464647743991e-05,0.5532460964865895,0.17995800822973246,0.13031482696533195,0.027585184201598098
39,1024,0.0001778279410038,128,MCN,54656.0,116353,0.81273297,6.898237370478452e-05,1.7981630662688843e-05,0.6306432833254105,0.15574609488248814,0.14628117531538004,0.06952345743775365
40,1024,0.0001778279410038,128,SCARF,182272.0,165889,0.9831350750000001,2.615771427372219e-05,1.5769139281473647e-05,,,,
41,1024,0.0001778279410038,128,SUBTAB,100096.0,100225,0.562461635,0.0112518962050671,0.07595106586813921,,,,
42,1024,0.0003162277660168,32,CLIP,3425.0,7585,0.86200574,3.9379255213133874e-05,3.377131997694913e-05,0.5763101548722044,0.14690016955137253,0.11415731534361835,0.0513415168970823
43,1024,0.0003162277660168,32,CONTROL,,7585,,,3.313506749691397e-05,,,,
