,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
59,1024,0.0003,128,ICEH,233985.0,414465,0.37131676,0.53627735,0.54679525,8.732734680175781,0.0770590752363205,0.0220284610986709,41.183353424072266,0.004872684367001,629.3223266601562,28722.287109375,5.561957732425071e-05,0.1066574081778526,0.1291306316852569,4.189565658569336
60,1024,0.0003,128,MCN,197504.0,364929,0.50389534,0.6310518,0.53696394,3.0361766815185547,0.0397055000066757,0.028851693496108,24.38422393798828,0.0032435737084597,268.316162109375,37360.9609375,7.97925895312801e-05,0.3391309678554535,0.0794987753033638,1.951748609542847
61,1024,0.0003,128,SCARF,381312.0,364929,0.69082856,0.66441536,0.54265016,,,,,,,,,,,
62,1024,0.0003,128,SUBTAB,250240.0,364929,0.50007474,0.6305769,0.51922464,,,,,,,,,,,
63,1024,0.0005,32,CLIP,12321.0,23649,0.47594154,0.5557539,0.5498804,4.15650749206543,0.0329080373048782,0.0371578447520732,103.68221282958984,0.003468848997727,398.98345947265625,3997.830810546875,5.570120993070304e-05,0.2510347366333008,0.047711081802845,9.339954376220703
64,1024,0.0005,32,CONTROL,,23649,,,0.57003653,,,,,,,,,,,
65,1024,0.0005,32,GMC,569888.0,216417,0.48408803,0.6321875,0.53461087,1.512576937675476,0.0193323455750942,0.0255766157060861,19.46257972717285,0.0013735308311879,313.75653076171875,1950.9061279296875,4.71842686238233e-05,0.027146466076374,0.0175206139683723,2.458203792572021
66,1024,0.0005,32,ICEH,221601.0,232929,0.39202565,0.52163464,0.5439786,11.884499549865724,0.0719344988465309,0.0186430774629116,23.63875389099121,0.0115567995235323,504.0057678222656,37512.7265625,5.141623842064291e-05,0.1019871085882186,0.0834723114967346,14.737746238708496
67,1024,0.0005,32,MCN,15584.0,23649,0.47056744,0.6124,0.55414647,9.65613079071045,0.0461057350039482,0.0346456952393054,173.61968994140625,0.0032435737084597,40187.91796875,54485.21875,5.4330732382368296e-05,0.1389874070882797,0.1224124580621719,5.922417640686035
68,1024,0.0005,32,SCARF,24672.0,23649,0.45495802,0.6002404,0.5897475,,,,,,,,,,,
69,1024,0.0005,32,SUBTAB,16480.0,23649,0.49787194,0.61126155,0.55900955,,,,,,,,,,,
70,1024,0.0005,64,CLIP,47169.0,92353,0.47961923,0.5916667,0.5258498,9.517091751098633,0.0216963458806276,0.1127606183290481,13.69632625579834,0.0045415377244353,261.3134765625,29107.560546875,3.803746949415654e-05,0.1013674214482307,0.0424763076007366,2.0787193775177
71,1024,0.0005,64,CONTROL,,92353,,,0.56285375,,,,,,,,,,,
72,1024,0.0005,64,GMC,574016.0,254401,0.5198028,0.6695447,0.5228198,1.545365333557129,0.0187059603631496,0.0285583063960075,19.62494659423828,0.001366059994325,318.3615417480469,2035.64501953125,5.705759031116031e-05,0.0304629243910312,0.0176684614270925,2.308626890182495
73,1024,0.0005,64,ICEH,225729.0,270913,0.38128695,0.5499231,0.5277904,12.56777572631836,0.0762804597616195,0.0265390779823064,223.6578369140625,0.0083369743078947,3635.1630859375,40450.75,3.1210143788484856e-05,0.1184421852231025,0.1197390779852867,11.616913795471191
