,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Lower_court_disagreement,Actions_taken,Year_of_decision
202,1024,0.007,64,SUBTAB,17536.0,38017,0.46321908,0.007232315,0.44350007,,,,,,,
203,1024,0.007,128,CLIP,34817.0,149761,0.61301434,0.0050478433,0.384591,0.5792645805430415,0.747583069298887,0.7869897959183674,0.5321046533559669,0.4853534848029893,3.2044334411621094,259.4852294921875
204,1024,0.007,128,CONTROL,,149761,,,7.98466,,,,,,,
205,1024,0.007,128,GMC,217472.0,182785,0.6284465,0.006132342,767.65234,0.4723852429075855,0.5,0.5,0.5,0.5,0.467980295419693,187.1650238037109
206,1024,0.007,128,ICEH,84353.0,199297,0.6276958,0.0061330395,0.7314612,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,110.97044372558594
207,1024,0.007,128,MCN,47872.0,149761,0.57670116,0.009549095,30.881075,0.5,0.5,0.5,0.5,0.5,1.0615763664245603,331.50738525390625
208,1024,0.007,128,SCARF,166144.0,149761,0.7401383,0.0076266625,0.44793168,,,,,,,
209,1024,0.007,128,SUBTAB,67840.0,149761,0.47667167,0.007914917,1.6385583,,,,,,,
210,1024,0.01,32,CLIP,2561.0,9793,0.54419845,0.009083689,0.30778047,0.5792645805430415,0.747583069298887,0.7908163265306123,0.5481232991135181,0.4869716077803356,6.206896781921387,235.08128356933597
211,1024,0.01,32,CONTROL,,9793,,,0.30099836,,,,,,,
212,1024,0.01,32,GMC,205088.0,62689,0.6277527,0.005363491,1097.4983,0.4534883720930232,0.5,0.5,0.5,0.5,0.8768472671508789,241.64285278320312
213,1024,0.01,32,ICEH,71969.0,79201,0.60769707,0.0046791737,1305.2523,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,163.89163208007812
214,1024,0.01,32,MCN,5824.0,9793,0.4346946,0.008042522,0.60711145,0.5,0.5,0.5,0.5,0.5,1.0615763664245603,329.4384155273437
215,1024,0.01,32,SCARF,10816.0,9793,0.5963009,0.013945257,0.29518437,,,,,,,
216,1024,0.01,32,SUBTAB,4672.0,9793,0.5226543,0.009413711,0.3604574,,,,,,,
217,1024,0.01,64,CLIP,9217.0,38017,0.60803866,0.004953275,0.35677552,0.5792645805430415,0.747583069298887,0.7831632653061225,0.5339773125319969,0.4953624929102859,5.972906589508057,261.3472900390625
218,1024,0.01,64,CONTROL,,38017,,,19.537825,,,,,,,
219,1024,0.01,64,GMC,209216.0,88385,0.62832624,0.0056494083,213.76093,0.4953731888469499,0.5,0.5,0.5,0.5,0.5,123.25615692138672
220,1024,0.01,64,ICEH,76097.0,104897,0.6272325,0.0116444575,2.1426713,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,136.83990478515625
221,1024,0.01,64,MCN,15744.0,38017,0.49338907,0.007875635,0.39789593,0.5,0.5,0.5,0.4742543044216312,0.5,0.2438423633575439,347.11083984375
222,1024,0.01,64,SCARF,42112.0,38017,0.7572122,0.012422353,15.535385,,,,,,,
223,1024,0.01,64,SUBTAB,17536.0,38017,0.45043108,0.0077315364,0.31534618,,,,,,,
224,1024,0.01,128,CLIP,34817.0,149761,0.6209112,0.005176978,4.269266,0.5792645805430415,0.747583069298887,0.7882653061224489,0.5358499717080268,0.4969806158876322,9.21921157836914,226.60836791992188
225,1024,0.01,128,CONTROL,,149761,,,0.31329662,,,,,,,
226,1024,0.01,128,GMC,217472.0,182785,0.62775785,0.0057406556,5.244751,0.465408498721539,0.5,0.5,0.5,0.5,1.7635468244552612,184.6724090576172
227,1024,0.01,128,ICEH,84353.0,199297,0.62726253,0.0045225094,356.67654,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,236.194580078125
228,1024,0.01,128,MCN,47872.0,149761,0.325989,0.009843632,4.1465044,0.5,0.5,0.5,0.5,0.5,0.2438423633575439,445.3866882324219
229,1024,0.01,128,SCARF,166144.0,149761,0.6039928,0.006333787,0.29768482,,,,,,,
230,1024,0.01,128,SUBTAB,67840.0,149761,0.4765156,0.007512739,51.89357,,,,,,,
