,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
66,1024,0.0005,32,ICEH,204833.0,215170,0.9003335,0.6134781015209823,0.7742750137438152,126144.4296875,917.2144775390624,3.163580179214477,2002461.375,14999974912.0,75.34104919433594,4.037036895751953,2.342592477798462,3.472222328186035,2.257715940475464
67,1024,0.0005,32,MCN,14464.0,21538,0.7127614,0.5765072384093824,0.5209822246655671,80164.015625,922.0972290039062,75.41358184814453,322372.9375,78635264.0,34.83641815185547,16.59722137451172,2.504629611968994,162.7716064453125,1.665123462677002
68,1024,0.0005,32,SCARF,22528.0,21538,0.99331856,0.7095760032985157,0.7189504306395456,,,,,,,,,,
69,1024,0.0005,32,SUBTAB,15360.0,21538,0.7006956,0.5777040956569544,0.7235488821696903,,,,,,,,,,
70,1024,0.0005,64,CLIP,42881.0,84034,0.67186016,0.5969912497709364,0.6753539032435405,639844.25,581.3040161132812,3.1481480598449707,2002462.875,13008142336.0,91.99691009521484,2.939814805984497,2.512345790863037,0.729938268661499,5.0987653732299805
71,1024,0.0005,64,CONTROL,,84034,,,0.5320574491478834,,,,,,,,,,
72,1024,0.0005,64,GMC,524096.0,233602,0.99777675,0.7615906175554334,0.765461792193513,80196.0703125,184.82098388671875,1.1512346267700195,322486.1875,5168946688.0,24.56172752380371,13.902777671813965,1.0817900896072388,0.3101851940155029,1.9243826866149905
73,1024,0.0005,64,ICEH,208961.0,250114,,0.612029274326553,0.7590079256001465,80472.203125,928.3934936523438,5.844135761260986,321025.96875,95222352.0,76.95216369628906,3.9166667461395264,1.9444444179534912,4.479938507080078,2.257715940475464
74,1024,0.0005,64,MCN,49408.0,84034,0.8572588,0.5750813175737585,0.5056693238042881,80206.8359375,1846.6033935546875,7.620370388031006,322422.40625,78603520.0,52.810184478759766,16.320987701416016,1.9984568357467647,0.327160507440567,2.2191357612609863
75,1024,0.0005,64,SCARF,88064.0,84034,0.99327797,0.7006654297232912,0.6766423859263332,,,,,,,,,,
76,1024,0.0005,64,SUBTAB,59392.0,84034,0.65816677,0.6171946582371266,0.7329805754077332,,,,,,,,,,
77,1024,0.0005,128,CLIP,167681.0,331906,0.8259953,0.5902109675645959,0.7070276708814367,12438835.0,654.8148193359375,3.2839505672454834,2002462.375,11494921216.0,130.2669677734375,2.4537036418914795,2.129629611968994,0.790123462677002,6.595678806304932
78,1024,0.0005,128,CONTROL,,331906,,,0.5043293018141837,,,,,,,,,,
79,1024,0.0005,128,GMC,532352.0,364930,0.99805737,0.7580000458127176,0.7632284222100054,80196.6640625,206.8827209472656,15.557098388671877,322486.15625,5515673088.0,25.529321670532227,13.88734531402588,1.044753074645996,14.824073791503906,1.6990740299224854
80,1024,0.0005,128,ICEH,217217.0,381442,,0.7081729888216969,0.7730781564962435,5649732.5,978.1574096679688,1.2268518209457395,2002461.375,13028860928.0,87.17438507080078,1.6867283582687378,1.337962985038757,1.4490740299224854,1.4891974925994873
81,1024,0.0005,128,MCN,180736.0,331906,0.7103172,0.5689538665933663,0.6794827744181785,80164.0234375,1844.2947998046875,30.35030937194824,322523.84375,5067274240.0,38.675926208496094,16.018518447875977,1.3904321193695068,15.163579940795898,2.3981480598449707
82,1024,0.0005,128,SCARF,348160.0,331906,0.99237204,0.684476360637713,0.733793751145318,,,,,,,,,,
