,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
10,1024,0.0001,64,CONTROL,,452930,,,0.7438317987028029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1024,0.0001,64,GMC,2720576.0,1151618,0.71722865,0.6889662236506833,0.7752732655779477,0.0415248982608318,0.0823072344064712,0.0655610486865043,0.063228391110897,0.0939704477787017,0.1049571707844734,0.0544773265719413,0.0013037961907684,0.0291171092540025,1595.3861083984375,1585.1817626953125,2059.00439453125,181.40576171875,185.726318359375,245.91839599609372,5.397631645202637,7.020101547241211,8.887892723083496,197.9489898681641,34.24434280395508,102.37218475341795,15.987105369567873,9.572604179382324,11.128864288330078,7.550178050994873,4.568718433380127,4.38780403137207,868.5670776367188,0.1796270906925201,47.93439483642578,352.4301147460937,0.0506579764187336,37.73008728027344,0.0515626706182956,46.4656982421875,9.31039047241211,7544.60205078125,0.0624980553984642,9418.9228515625,370.7966918945313,5.136656761169434,331.2680358886719,34.22221374511719,5379.62939453125,352.4833374023437,0.0467006675899028,0.031998161226511,0.0016399954911321,9488.20703125,15.03722095489502,402.4754638671875,37.74473190307617,0.0312653183937072,0.2015417665243148
12,1024,0.0001,64,ICEH,946753.0,1168130,0.2382976,0.722659688441047,0.780311486564744,0.0464269407093524,0.0440566837787628,0.0137413823977112,0.1717647612094879,0.1164097785949707,0.0321954451501369,0.024313636124134,0.0040176622569561,0.1796900629997253,104.6014404296875,658.7199096679688,121.22051239013672,85.93970489501953,23.161102294921875,47.02825164794922,11.354788780212402,10.103100776672363,11.509687423706056,14.949198722839355,13.355982780456545,42.50273132324219,24.1933650970459,49.10639953613281,9.431963920593262,27.15959930419922,47.156009674072266,36.47254180908203,1498.1182861328125,0.3107108771800995,165.34315490722656,989.21826171875,0.1691671758890152,119.91857147216795,0.2362806051969528,71.43515014648438,168.884765625,13970.7333984375,0.2295656651258468,16062.6318359375,1209.74658203125,139.50221252441406,1409.3177490234375,201.8712615966797,16206.4013671875,1283.0384521484375,0.1113170608878135,0.1251056641340255,0.0283731836825609,16161.818359375,168.98826599121094,1649.515625,106.41670989990234,0.4976053833961487,0.4116861522197723
13,1024,0.0001,64,SCARF,456960.0,452930,0.31880164,0.6408637605204232,0.7467893405914601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1024,0.0001,64,SUBTAB,325888.0,452930,0.23560953,0.6330296646977067,0.7638055217743804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1024,0.0002,16,CONTROL,,30290,,,0.7448891494865262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1024,0.0002,16,GMC,2714384.0,937922,0.66353154,0.6801109711605282,0.7766773559956761,0.0383830070495605,0.0814901068806648,0.044896624982357,0.0563867390155792,0.0971398130059242,0.1064723655581474,0.0386637076735496,0.0010785688646137,0.0287515055388212,1593.038818359375,1615.9339599609375,1855.714111328125,169.48545837402344,191.9923553466797,200.8096618652344,5.273112773895264,6.83902645111084,8.690345764160156,175.3249053955078,34.95351791381836,105.0999984741211,19.96315574645996,9.672834396362305,10.97766399383545,6.973877906799316,4.251582622528076,4.442800045013428,1024.7139892578125,0.2340252250432968,50.770484924316406,349.8324890136719,0.0683796107769012,40.44157791137695,0.0677733793854713,50.05306625366211,9.345474243164062,3263.7158203125,0.0813646465539932,3146.7109375,369.2888793945313,5.640566825866699,332.4508361816406,36.53598403930664,3116.856689453125,350.3432922363281,0.0476006902754306,0.0357095226645469,0.0016195140779018,5315.4892578125,15.085949897766112,402.0807189941406,38.65562057495117,0.0374062731862068,0.2467171549797058
17,1024,0.0002,16,ICEH,940561.0,954434,0.27695814,0.7193618012122616,0.7723308045710755,0.0191882774233818,0.0990944355726242,0.0642046183347702,0.21115243434906,0.2521936297416687,0.1170876026153564,0.0424470342695713,0.0062265158630907,0.271502673625946,59.87749862670898,183.705322265625,97.8193817138672,64.8700942993164,21.510404586791992,71.25234985351562,14.119514465332031,80.83644104003906,19.5710563659668,15.093062400817873,9.62624168395996,11.320019721984863,10.0469388961792,14.235201835632324,15.781126022338867,34.51237869262695,13.648612022399902,26.855859756469727,2681.47412109375,0.3375912010669708,46.01283645629883,1437.48974609375,0.3156115114688873,135.45045471191406,0.0681254118680954,48.93410873413086,71.80458068847656,16277.025390625,0.158477708697319,16754.015625,1328.1654052734375,5.641377925872803,1405.7681884765625,135.0817413330078,17547.29296875,1570.063232421875,0.0819321870803833,0.1171866878867149,0.0163607914000749,17156.962890625,31.389305114746094,1551.058349609375,82.49327850341797,0.7456023097038269,0.361622542142868
18,1024,0.0002,16,SCARF,30528.0,30290,0.3904895,0.63182596903714,0.748536068643348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1024,0.0002,16,SUBTAB,22336.0,30290,0.28512096,0.6403366535402673,0.7473187398656475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1024,0.0002,32,CONTROL,,115874,,,0.7492291859701954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1024,0.0002,32,GMC,2716448.0,981506,0.72941655,0.6893144110493398,0.781189555825805,0.0322145037353038,0.0888007208704948,0.040925346314907,0.061296097934246,0.1024269163608551,0.0886881873011589,0.0366675220429897,0.0010927667608484,0.0284565705806016,1698.7529296875,1253.5067138671875,1831.796630859375,223.17811584472656,155.56346130371094,191.7559051513672,5.46647310256958,6.799337863922119,8.733443260192871,113.80158996582033,36.02198791503906,100.25208282470705,18.47123908996582,9.951836585998535,10.48404312133789,7.260981559753418,4.511241912841797,4.599087238311768,876.3416137695312,0.2153246104717254,48.89824295043945,347.3662109375,0.0600486546754837,40.35658645629883,0.0582824051380157,50.18619537353516,9.77304458618164,3287.470947265625,0.0925265476107597,3740.90234375,370.546142578125,5.258342266082764,338.0628662109375,36.77263641357422,3536.6923828125,352.7665405273437,0.0474161282181739,0.0372427590191364,0.0016863114433363,3136.95068359375,15.65159797668457,426.1878051757813,41.5151596069336,0.0363498516380786,0.2284789830446243
22,1024,0.0002,32,ICEH,942625.0,998018,0.20807397,0.7276960997220292,0.7735303982317967,0.0189241450279951,0.0360265672206878,0.0283437184989452,0.1546408534049987,0.1059689670801162,0.0218207146972417,0.0495819002389907,0.0029384884983301,0.1382523775100708,82.37178039550781,25.14187240600586,53.04726791381836,42.17303466796875,52.33999252319336,243.1637725830078,10.435627937316896,21.54546356201172,7.065285682678223,5.275858879089356,6.008099555969238,14.42731761932373,11.557108879089355,131.0748748779297,13.643074035644531,12.656641006469728,23.972490310668945,21.772571563720703,2989.7314453125,0.1325075626373291,457.6933898925781,1240.6014404296875,0.0924746468663215,77.84457397460938,0.0651497393846511,69.55414581298828,64.92359924316406,16261.326171875,0.1342205107212066,15487.7919921875,1618.811767578125,19.907772064208984,1574.523681640625,37.54070281982422,17399.533203125,1492.5194091796875,0.1560848504304886,0.119162917137146,0.016533151268959,14699.228515625,655.870849609375,947.2660522460938,87.83534240722656,0.0546794272959232,0.5456509590148926
23,1024,0.0002,32,SCARF,116864.0,115874,0.33416095,0.6976355590301908,0.7525360010809976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1024,0.0002,32,SUBTAB,84096.0,115874,0.23178944,0.6375359528221758,0.7440027555787199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1024,0.0002,64,CONTROL,,452930,,,0.7520038269245618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1024,0.0002,64,GMC,2720576.0,1151618,0.72223777,0.6858409823565748,0.7841376872442283,0.0322421081364154,0.0949939787387847,0.041329488158226,0.0571215525269508,0.0973531156778335,0.1099655255675315,0.0379385948181152,0.0011361286742612,0.0269519593566656,1562.60302734375,1491.9549560546875,1939.1431884765625,193.65786743164065,170.03009033203125,194.0194549560547,5.254196166992188,6.951247692108154,8.348030090332031,90.08383178710938,33.453983306884766,102.50618743896484,16.78399658203125,9.731483459472656,10.290327072143556,7.410568714141846,4.398396968841553,4.56658935546875,1204.781005859375,0.2154323905706405,49.76229476928711,353.6069030761719,0.0541583523154258,38.5493278503418,0.0555971786379814,45.88753128051758,9.819857597351074,7707.96875,0.072180837392807,11503.4638671875,373.5030517578125,5.27221155166626,343.0523986816406,36.43589401245117,8998.0283203125,345.1253356933594,0.0465941131114959,0.0338331870734691,0.0016605847049504,12263.3603515625,15.108799934387209,405.6444396972656,39.18406677246094,0.0363569185137748,0.22416552901268
27,1024,0.0002,64,ICEH,946753.0,1168130,0.22312905,0.7195281735001158,0.7836061163230639,0.0065430263057351,0.0175710096955299,0.0478089302778244,0.1562416851520538,0.1656653434038162,0.0142577150836586,0.0565844811499118,0.0033390847966074,0.2396008670330047,85.36286163330078,48.96944046020508,105.88631439208984,97.67735290527344,33.00057601928711,222.6723175048828,9.57655429840088,13.393695831298828,41.64578628540039,5.366389274597168,8.029027938842773,8.243387222290039,8.962756156921387,45.240455627441406,9.141023635864258,6.97236442565918,12.557964324951172,13.248308181762695,2994.302001953125,0.2039960622787475,77.81670379638672,1272.7442626953125,0.1510768681764602,554.0614013671875,0.1503605395555496,130.3057861328125,364.0542297363281,16270.587890625,0.4199815690517425,15151.4384765625,1180.4644775390625,33.45758819580078,1504.4512939453125,106.00886535644533,17171.392578125,1543.214111328125,0.0642552375793457,0.0952788293361663,0.0218790024518966,18562.974609375,44.36756896972656,2342.9931640625,105.28230285644533,0.0409500636160373,0.2718260884284973
28,1024,0.0002,64,SCARF,456960.0,452930,0.32865086,0.6462473940236275,0.7492300304995754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1024,0.0002,64,SUBTAB,325888.0,452930,0.26812035,0.6476405055594162,0.7464372924870666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1024,0.0003,16,CONTROL,,30290,,,0.7563398820554398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1024,0.0003,16,GMC,2714384.0,937922,0.6417675,0.6874004661802178,0.7631118012122616,0.0291868727654218,0.0936597883701324,0.0428562276065349,0.0545756258070468,0.0968994498252868,0.1008477434515953,0.0343633517622947,0.0010843286290764,0.0275523271411657,1519.3348388671875,1521.232421875,1742.8916015625,174.35308837890625,174.5760955810547,185.95068359375,5.339623928070068,6.945212364196777,8.746371269226074,198.52923583984372,34.30342102050781,100.1149673461914,14.95811367034912,9.389592170715332,11.56651496887207,7.393813133239746,4.1791510581970215,4.357189178466797,1021.142822265625,0.1791837513446808,54.820350646972656,345.3694152832031,0.0650100782513618,40.63592147827149,0.0576380677521228,50.22554016113281,9.784852027893066,6549.15478515625,0.0974205583333969,7559.65966796875,370.2475891113281,5.44330358505249,332.2873840332031,35.285892486572266,3351.185791015625,348.20703125,0.0557850673794746,0.0303188674151897,0.0018500773003324,9783.2724609375,16.21033477783203,404.6812438964844,40.52626800537109,0.0377266444265842,0.2235339134931564
32,1024,0.0003,16,ICEH,940561.0,954434,0.24294455,0.7063321606439656,0.7778782767739942,0.0128059461712837,0.201359137892723,0.0752867609262466,0.1956566423177719,0.0987264364957809,0.2270019948482513,0.0657945647835731,0.0013390419771894,0.1662650406360626,58.21648406982422,427.08111572265625,34.22607421875,64.79393005371094,30.894916534423828,132.10467529296875,19.7373161315918,4.625200748443604,18.28365135192871,6.899526596069336,15.638760566711426,26.135934829711918,7.796666145324707,15.906492233276367,18.316370010375977,179.23252868652344,52.32767105102539,8.255228996276855,2951.133544921875,0.4083594381809234,43.09506607055664,1333.84814453125,0.0588616766035556,68.37569427490234,0.0678395926952362,54.21218490600586,14.524331092834473,16277.025390625,0.0989985316991806,16755.107421875,1440.2484130859375,23.015209197998047,1575.9080810546875,135.37364196777344,17249.16015625,1379.386962890625,0.0508618503808975,0.1290718019008636,0.0071381907910108,17206.916015625,71.87225341796875,1551.058349609375,114.7900161743164,0.7344862818717957,0.1964395940303802
33,1024,0.0003,16,SCARF,30528.0,30290,0.30475914,0.6412067600957454,0.7513134844799629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1024,0.0003,16,SUBTAB,22336.0,30290,0.22972284,0.6441645432785112,0.7473156030422361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1024,0.0003,32,CONTROL,,115874,,,0.741758961663192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1024,0.0003,32,GMC,2716448.0,981506,0.76249385,0.6960853650297274,0.7780545421202996,0.0296212080866098,0.0864059925079345,0.0368906632065773,0.0620086453855037,0.0907033234834671,0.0918894410133361,0.0404452830553054,0.001037431997247,0.0276550184935331,1559.0533447265625,1865.1748046875,2807.14599609375,166.11305236816406,230.8745574951172,278.2030639648437,5.200395107269287,6.602234363555908,8.53116226196289,246.69200134277344,37.6290168762207,102.859130859375,16.699905395507812,9.66941261291504,11.12956428527832,6.80368185043335,4.516335487365723,4.422586917877197,1013.5679931640624,0.2365221828222274,47.42459487915039,346.8063659667969,0.0531858652830123,41.02654266357422,0.0634645000100135,52.26661682128906,10.647167205810549,8421.8232421875,0.0665536746382713,6681.30029296875,377.7813415527344,5.462674140930176,337.75067138671875,37.45432662963867,8641.2021484375,341.4472351074219,0.0464960560202598,0.0462785847485065,0.0017460614908486,8547.4423828125,15.16118621826172,404.5659790039063,38.7888298034668,0.0383023768663406,0.2030475288629531
