,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,day,date,period,nswprice,nswdemand,vicprice,vicdemand,transfer
13,1024,0.0001,64,SUBTAB,46976.0,63426,0.8332011,0.788075152803758,0.7688710443134279,,,,,,,,
14,1024,0.0001,128,CLIP,118273.0,249730,0.8535409,0.7837194172695635,0.7683678976177627,0.2463038913028147,0.0809022933244705,0.1225661635398864,0.0009007384069263,0.0077502303756773,3.90309060094296e-06,0.0042188754305243,0.0102609368041157
15,1024,0.0001,128,CONTROL,,249730,,,0.7749600661123938,,,,,,,,
16,1024,0.0001,128,GMC,400768.0,282754,0.26284635,0.7913534510858906,0.778778029801974,0.1926723041373328,0.0794437453150749,0.1298810094594955,0.0009171085548587,0.016595097258687,7.279204510268755e-06,0.0091842152178287,0.0135683426633477
17,1024,0.0001,128,ICEH,167809.0,299266,0.34847763,0.7721030855606366,0.7938156237869363,0.2235131569496894,0.0794918462634086,0.1995048075914383,0.0099740335717797,0.0091557493433356,0.0001903730881167,0.0085876127704977,0.0331605449318885
18,1024,0.0001,128,MCN,131328.0,249730,0.67723835,0.7678742187362633,0.7746748143970288,0.2281289142258848,0.1050066500902175,0.1448187530040741,0.0177596826106309,0.0275031514465808,0.0001833910646382,0.0194788724184036,0.0352043434977531
19,1024,0.0001,128,SCARF,265984.0,249730,0.36370298,0.7412722307657973,0.7714761810083763,,,,,,,,
20,1024,0.0001,128,SUBTAB,184064.0,249730,0.7983078,0.7873626321605416,0.7711833550416787,,,,,,,,
21,1024,0.0002,32,CLIP,8065.0,16354,0.8384072,0.7881913364090203,0.767039833799285,0.234662566362324,0.0888538286089897,0.1292410343885421,0.0004022812645416,0.0090653244405984,4.844217528443551e-06,0.0041020209901034,0.0170222707092762
22,1024,0.0002,32,CONTROL,,16354,,,0.7655773270196539,,,,,,,,
23,1024,0.0002,32,GMC,388384.0,147202,0.24816234,0.8024751571319015,0.7807081113469048,0.1937433507880941,0.0869088619947433,0.1312256604433059,0.0007815897115506,0.0150361824780702,2.938295210697106e-06,0.0077744973823428,0.0125234154984354
24,1024,0.0002,32,ICEH,155425.0,163714,0.30647874,0.813540191547406,0.7902608653311638,0.1904029453987236,0.0717198699712753,0.2726375460624695,0.0027851739432662,0.0102610504254698,1.186654935736442e-05,0.0060796858742833,0.0247043129056692
25,1024,0.0002,32,MCN,11328.0,16354,0.53795195,0.7694998424285214,0.7703373382187254,0.180322052171825,0.1891554445028305,0.1670584976673126,0.035493116825819,0.1165130287408828,0.0001804187340894,0.0908736884593963,0.0697401463985443
26,1024,0.0002,32,SCARF,17344.0,16354,0.46179256,0.7408783696965024,0.7681997762890767,,,,,,,,
27,1024,0.0002,32,SUBTAB,12224.0,16354,0.7669454,0.7937809986379873,0.768737548133691,,,,,,,,
28,1024,0.0002,64,CLIP,30465.0,63426,0.84234875,0.7871888301433563,0.7731518488612248,0.2463922903609255,0.084251619875431,0.1949177831411361,0.0009840172715485,0.0072160013951361,3.363923042343231e-06,0.0046446737833321,0.0112821580842137
29,1024,0.0002,64,CONTROL,,63426,,,0.7698149853857525,,,,,,,,
30,1024,0.0002,64,GMC,392512.0,176002,0.25309452,0.7946500087239146,0.7846979834908372,0.1855816016746229,0.0783007889986038,0.1163386702537536,0.0010374205885455,0.0135772228240966,4.1579540265956894e-05,0.0096859624609351,0.01293720677495
31,1024,0.0002,64,ICEH,159553.0,192514,0.2822299,0.8048469798349084,0.7859712692416416,0.2321263781719734,0.0978244394063949,0.2609806954860687,0.0203161481767892,0.0078265368938446,2.7799758754554205e-05,0.0080645689740777,0.0168729685246944
32,1024,0.0002,64,MCN,36992.0,63426,0.4186439,0.7953049109552077,0.7808636540081991,0.2278265002348563,0.0883244350552558,0.1608415096998214,0.0080369412899017,0.0282290205359458,0.0001359780872007,0.0113996490836143,0.0344444140791893
