,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Total_Discharges,Average_Covered_Charges,Average_Medicare_Payments
67,4096,0.0005,32,MCN,16448.0,6497,0.7923015,0.017847002,0.00787344,227660.171875,1.7807831764221191,0.4454587697982788
68,4096,0.0005,32,SCARF,7520.0,6497,0.95140874,0.04647378,0.007913869,,,
69,4096,0.0005,32,SUBTAB,5472.0,6497,0.78728426,0.019348057,0.007868192,,,
70,4096,0.0005,64,CLIP,12865.0,25281,0.7874319,0.026798561,0.00782923,538177.875,0.0929068103432655,0.0544556900858879
71,4096,0.0005,64,CONTROL,,25281,,,0.006858129,,,
72,4096,0.0005,64,GMC,174656.0,87489,0.28028333,0.021787796,0.0075309966,6425.78125,0.0465766489505767,0.0351148955523967
73,4096,0.0005,64,ICEH,91585.0,104001,0.77025115,0.03268887,0.0069478853,1017441.4375,0.0676929727196693,0.0436912924051284
74,4096,0.0005,64,MCN,39040.0,25281,0.78862786,0.020402951,0.0074277264,256038.984375,0.2695361673831939,0.4989951848983764
75,4096,0.0005,64,SCARF,29376.0,25281,0.9521,0.045465857,0.007864431,,,
76,4096,0.0005,64,SUBTAB,21184.0,25281,0.8003922,0.01961508,0.0074072075,,,
77,4096,0.0005,128,CLIP,50305.0,99713,0.79243827,0.026114156,0.007075277,599282.0625,0.1035549417138099,0.0647778138518333
78,4096,0.0005,128,CONTROL,,99713,,,0.008135271,,,
79,4096,0.0005,128,GMC,182912.0,132737,0.2032074,0.028977131,0.0068438887,10103.576171875,0.0473543517291545,0.0351186394691467
80,4096,0.0005,128,ICEH,99841.0,149249,0.63758016,0.037642807,0.0068703075,2963.120361328125,0.0464496053755283,0.0344146303832531
81,4096,0.0005,128,MCN,102656.0,99713,0.79042816,0.022534478,0.006906071,603383.375,0.1177515611052513,0.1223630979657173
82,4096,0.0005,128,SCARF,116096.0,99713,0.9369836,0.04203679,0.007974389,,,
83,4096,0.0005,128,SUBTAB,83328.0,99713,0.79226977,0.020318277,0.007219249,,,
84,4096,0.0007,32,CLIP,3361.0,6497,0.7888774,0.0279723,0.0078566745,577779.625,0.079936072230339,0.0569367967545986
85,4096,0.0007,32,CONTROL,,6497,,,0.007823024,,,
86,4096,0.0007,32,GMC,170528.0,74081,0.7816789,0.029806463,0.00715521,9750.3876953125,0.0480432398617267,0.0379470698535442
87,4096,0.0007,32,ICEH,87457.0,90593,0.76224744,0.027997676,0.007016717,3326.507080078125,0.0583290830254554,0.0395031534135341
88,4096,0.0007,32,MCN,16448.0,6497,0.7877008,0.022550356,0.006918858,5050.279296875,1.7993109226226809,0.076916217803955
89,4096,0.0007,32,SCARF,7520.0,6497,0.9274461,0.08757913,0.0078054387,,,
90,4096,0.0007,32,SUBTAB,5472.0,6497,0.79416466,0.021074401,0.0075929775,,,
91,4096,0.0007,64,CLIP,12865.0,25281,0.7974645,0.024564294,0.0073836315,506050.90625,0.1069479584693908,0.0562110505998134
92,4096,0.0007,64,CONTROL,,25281,,,0.0070708613,,,
93,4096,0.0007,64,GMC,174656.0,87489,0.19232482,0.015000385,0.0075916857,11255.8095703125,0.0472381263971328,0.0357110425829887
94,4096,0.0007,64,ICEH,91585.0,104001,0.4737711,0.02063056,0.0068674497,1017441.4375,0.0452936887741088,0.0324173606932163
95,4096,0.0007,64,MCN,39040.0,25281,0.785065,0.019398395,0.0073775565,12003.2099609375,0.3235633969306946,0.1672000586986541
96,4096,0.0007,64,SCARF,29376.0,25281,0.94965345,0.05475717,0.007368437,,,
97,4096,0.0007,64,SUBTAB,21184.0,25281,0.78776646,0.020984132,0.007871909,,,
98,4096,0.0007,128,CLIP,50305.0,99713,0.78961974,0.023653535,0.007307175,387968.34375,0.1173354759812355,0.058068111538887
99,4096,0.0007,128,CONTROL,,99713,,,0.006919985,,,
100,4096,0.0007,128,GMC,182912.0,132737,0.17590162,0.029822424,0.0070101907,93825.1953125,0.0470964945852756,0.0346746519207954
101,4096,0.0007,128,ICEH,99841.0,149249,0.789856,0.027776476,0.007057308,3326.507080078125,0.8796105980873108,0.0751101300120353
102,4096,0.0007,128,MCN,102656.0,99713,0.78847724,0.019654421,0.006882427,2796.997314453125,0.6591950058937073,0.093543492257595
103,4096,0.0007,128,SCARF,116096.0,99713,0.94433004,0.05741499,0.00794958,,,
104,4096,0.0007,128,SUBTAB,83328.0,99713,0.79849887,0.020614944,0.0075643095,,,
105,4096,0.001,32,CLIP,3361.0,6497,0.80160147,0.02253481,0.007848701,699589.875,0.0903359800577163,0.0522291809320449
106,4096,0.001,32,CONTROL,,6497,,,0.0070313714,,,
107,4096,0.001,32,GMC,170528.0,74081,0.23631266,0.021411981,0.0077123907,13815.2021484375,0.0485705770552158,0.0360275767743587
108,4096,0.001,32,ICEH,87457.0,90593,0.72785044,0.023775687,0.006906751,1017441.4375,0.0493166334927082,0.0420044846832752
109,4096,0.001,32,MCN,16448.0,6497,0.7913714,0.018947044,0.007331737,162247.3125,0.1155552491545677,0.1778916418552398
110,4096,0.001,32,SCARF,7520.0,6497,0.9308348,0.063613,0.007781197,,,
111,4096,0.001,32,SUBTAB,5472.0,6497,0.7932267,0.02134776,0.007864016,,,
112,4096,0.001,64,CLIP,12865.0,25281,0.7951269,0.023147635,0.0077650757,562138.5625,0.0995153412222862,0.060425404459238
113,4096,0.001,64,CONTROL,,25281,,,0.0075786007,,,
114,4096,0.001,64,GMC,174656.0,87489,0.7835746,0.01204278,0.0069259014,8456.1591796875,0.049022514373064,0.035672590136528
115,4096,0.001,64,ICEH,91585.0,104001,0.7876116,0.034743015,0.007313443,99766.53125,0.1925140619277954,0.295690655708313
116,4096,0.001,64,MCN,39040.0,25281,0.782908,0.018204343,0.007260313,233142.359375,1.7807831764221191,1.593546748161316
117,4096,0.001,64,SCARF,29376.0,25281,0.940498,0.045013934,0.0070107253,,,
118,4096,0.001,64,SUBTAB,21184.0,25281,0.7905848,0.0235742,0.0071877195,,,
119,4096,0.001,128,CLIP,50305.0,99713,0.78696716,0.028819863,0.0075758155,638985.0,0.1110183075070381,0.0555590093135833
120,4096,0.001,128,CONTROL,,99713,,,0.007526847,,,
121,4096,0.001,128,GMC,182912.0,132737,0.7937,0.011089976,0.0075415443,83413.8515625,0.0509413368999958,0.0352324098348617
122,4096,0.001,128,ICEH,99841.0,149249,0.78386,0.030570008,0.007807933,1017441.4375,0.6330971717834473,0.072072334587574
123,4096,0.001,128,MCN,102656.0,99713,0.7864964,0.014673639,0.0070929592,9238.95703125,1.7807831764221191,0.0745928436517715
124,4096,0.001,128,SCARF,116096.0,99713,0.9395859,0.06470303,0.007136227,,,
125,4096,0.001,128,SUBTAB,83328.0,99713,0.79853535,0.021614384,0.0076825465,,,
126,4096,0.002,32,CLIP,3361.0,6497,0.8006188,0.02664108,0.007761416,1017441.4375,0.0747904255986213,0.0568737722933292
127,4096,0.002,32,CONTROL,,6497,,,0.0075404295,,,
128,4096,0.002,32,GMC,170528.0,74081,0.91067296,0.025865661,0.008152339,4453.74169921875,0.3363407254219055,0.0764895975589752
129,4096,0.002,32,ICEH,87457.0,90593,0.7924755,0.04734594,0.007114777,127883.3828125,1.1218737363815308,0.0748180598020553
130,4096,0.002,32,MCN,16448.0,6497,0.78392893,0.020090124,0.007572639,3326.507080078125,1.7807831764221191,1.7266205549240112
131,4096,0.002,32,SCARF,7520.0,6497,0.92567503,0.047571078,0.0074064974,,,
132,4096,0.002,32,SUBTAB,5472.0,6497,0.7915247,0.023063168,0.007766441,,,
133,4096,0.002,64,CLIP,12865.0,25281,0.79742634,0.023965051,0.0070869885,279445.8125,0.0967493876814842,0.0594753623008728
134,4096,0.002,64,CONTROL,,25281,,,0.0076837577,,,
135,4096,0.002,64,GMC,174656.0,87489,0.88286924,0.022608856,0.007172965,2903.08544921875,0.0895817652344703,0.0594300404191017
136,4096,0.002,64,ICEH,91585.0,104001,0.8009878,0.043261897,0.0072576925,491262.21875,0.0760901793837547,0.0696010217070579
137,4096,0.002,64,MCN,39040.0,25281,0.7924408,0.018666405,0.007618398,3919.66748046875,1.7807831764221191,1.726983666419983
138,4096,0.002,64,SCARF,29376.0,25281,0.929489,0.0530688,0.007564071,,,
139,4096,0.002,64,SUBTAB,21184.0,25281,0.7954948,0.020315245,0.007721545,,,
140,4096,0.002,128,CLIP,50305.0,99713,0.7959012,0.026565835,0.007878581,990780.375,0.0856094807386398,0.0558740571141243
141,4096,0.002,128,CONTROL,,99713,,,0.00742945,,,
142,4096,0.002,128,GMC,182912.0,132737,0.8961455,0.028372388,0.006972999,100543.890625,0.0472776480019092,0.034436997026205
